Dealer_ID,Dealer_NM,Location_ID,Location_NM,Country_ID
DLR0117,Marlin Motors,LOC230,Spanish Town,CNTR109
DLR0118,Maruti Motors,LOC232,Yokohama,CNTR110
DLR0119,Maserati Motors,LOC234,Osaka,CNTR110
DLR0120,Mastretta Motors,LOC236,Saint Saviour,CNTR111
DLR0121,"Matra (including Deutsch-Bonnet, René Bonnet) Motors",LOC238,Zarqa,CNTR112
DLR0122,Mazda Motors,LOC240,Nur-Sultan,CNTR113
DLR0123,Mazzanti Motors,LOC242,Mombasa,CNTR114
DLR0124,McLaren Motors,LOC244,Bairiki,CNTR115
DLR0125,Mercedes-Benz (including Maybach) Motors,LOC246,Hamhung,CNTR116
DLR0126,Mercury Motors,LOC248,Busan,CNTR116
DLR0127,Merkur Motors,LOC250,Prizren,CNTR117
DLR0128,Messerschmitt Motors,LOC252,Al Jahra,CNTR118
DLR0129,Mia Motors,LOC254,Osh,CNTR119
DLR0130,Micro Motors,LOC256,Pakxe,CNTR120
DLR0131,Mini Motors,LOC258,Daugavpils,CNTR121
DLR0132,Mitsubishi Motors,LOC260,Tripoli,CNTR122
DLR0133,Monica Motors,LOC262,Teyateyaneng,CNTR123
DLR0134,Monteverdi Motors,LOC264,Ganta,CNTR124
DLR0135,Morgan Motors,LOC266,Benghazi,CNTR125
DLR0136,Moskwitch Motors,LOC268,Vaduz,CNTR126
DLR0137,Nash Motors,LOC270,Kaunas,CNTR127
DLR0138,Naza Motors,LOC272,Esch-sur-Alzette,CNTR128
DLR0139,Nissan Motors,LOC274,Toamasina,CNTR129
DLR0140,Nissan India Motors,LOC276,Blantyre,CNTR130
DLR0141,Noble Motors,LOC278,George Town,CNTR131
DLR0142,NSU Motors,LOC280,Addu City,CNTR132
DLR0143,Oldsmobile Motors,LOC282,Sikasso,CNTR133
DLR0145,Opel Motors,LOC284,Rita,CNTR135
DLR0146,Packard Motors,LOC286,Nouadhibou,CNTR136
DLR0147,Pagani Motors,LOC288,Beau Bassin-Rose Hill,CNTR137
DLR0148,Panhard Motors,LOC290,Koungou,CNTR138
DLR0149,Panoz Motors,LOC292,Ecatepec,CNTR139
DLR0150,Panther Motors,LOC294,Palikir,CNTR140
DLR0151,Peel Motors,LOC296,Tiraspol,CNTR141
DLR0152,Perodua Motors,LOC298,La Condamine,CNTR142
DLR0153,Peugeot Motors,LOC300,Erdenet,CNTR143
DLR0154,PGO Motors,LOC302,Nik_i_,CNTR144
DLR0155,Piaggio Motors,LOC304,Saint Peter's,CNTR145
DLR0156,Plymouth Motors,LOC306,Fez,CNTR146
DLR0157,Polestar Motors,LOC308,Matola,CNTR147
DLR0158,"Pontiac, Asüna Motors",LOC310,Mandalay,CNTR148
DLR0159,Porsche Motors,LOC312,Rundu,CNTR149
DLR0160,Premier Motors,LOC314,Denigomudu,CNTR150
DLR0161,Proton Motors,LOC316,Pokhara,CNTR151
DLR0162,Puma Motors,LOC318,Rotterdam,CNTR152
DLR0163,Ranger Motors,LOC320,Dumbéa,CNTR153
DLR0164,Reliant Motors,LOC322,Christchurch,CNTR154
DLR0165,Renault Motors,LOC324,Wellington,CNTR154
DLR0166,Rivian Motors,LOC326,León,CNTR155
DLR0167,Rolls-Royce Motors,LOC328,Zinder,CNTR156
DLR0168,Saab Motors,LOC330,Kano,CNTR157
DLR0169,SAIC Motor Motors,LOC332,Hakupu,CNTR158
DLR0170,Saleen Motors,LOC334,Kingston,CNTR159
DLR0171,Samsung Motors,LOC336,Bitola,CNTR160
DLR0172,San Motors,LOC338,Famagusta,CNTR161
DLR0173,Santa Matilde Motors,LOC340,Garapan[Note 3],CNTR162
DLR0174,Santana Motors,LOC342,Bergen,CNTR163
DLR0175,Saturn Motors,LOC344,Seeb,CNTR164
DLR0176,Scion Motors,LOC346,Lahore,CNTR165
DLR0177,Seat Motors,LOC348,Airai,CNTR166
DLR0178,Shelby SuperCars Motors,LOC350,Hebron,CNTR167
DLR0179,Simca Motors,LOC352,East Jerusalem,CNTR167
DLR0180,Simca do Brasil Motors,LOC354,Colón,CNTR168
DLR0181,Singer Motors,LOC356,Lae,CNTR169
DLR0182,Skoda Motors,LOC358,Ciudad del Este,CNTR170
DLR0183,Smart Motors,LOC360,Arequipa,CNTR171
DLR0184,Spyker Motors,LOC362,Manila,CNTR172
DLR0185,SsangYong Motors,LOC364,Metro Cebu,CNTR172
DLR0186,Standard-Triumph Motors,LOC366,-,CNTR173
DLR0187,Studebaker Motors,LOC368,Kraków,CNTR174
DLR0188,Subaru Motors,LOC370,Vila Nova de Gaia,CNTR175
DLR0189,Sunbeam Motors,LOC372,Porto,CNTR175
DLR0190,Suzuki Motors,LOC374,Bayamón,CNTR176
DLR0191,Tata Motors,LOC376,Ponce,CNTR176
DLR0192,Tatra Motors,LOC378,Al Rayyan,CNTR177
DLR0193,Tazzari Motors,LOC380,Ia_i,CNTR178
DLR0194,Tesla Motors,LOC382,Constan_a,CNTR178
DLR0195,Tornado Motors,LOC384,Saint Petersburg,CNTR179
DLR0196,Toyota Motors,LOC386,Butare,CNTR180
DLR0197,Toyota India Motors,LOC388,St. Jean,CNTR181
DLR0198,Turner Motors,LOC390,Jamestown,CNTR182
DLR0199,TVR Motors,LOC392,Charlestown,CNTR183
DLR0200,UAZ Motors,LOC394,Gros Islet,CNTR184
DLR0201,Vauxhall Motors,LOC396,Rambaud,CNTR185
DLR0202,Venturi Motors,LOC398,Miquelon,CNTR186
DLR0203,Volkswagen Motors,LOC400,Georgetown,CNTR187
DLR0204,Volkswagen do Brasil Motors,LOC402,Vaitele,CNTR188
DLR0205,Volkswagen South Africa Motors,LOC404,Borgo Maggiore,CNTR189
DLR0206,Volvo Motors,LOC406,Trindade,CNTR190
DLR0207,Westfield Motors,LOC408,Jeddah,CNTR191
DLR0208,Wiesmann Motors,LOC410,Touba,CNTR192
DLR0209,Zastava Motors,LOC412,Novi Sad,CNTR193
DLR0210,ZAZ Motors,LOC414,Anse Etoile,CNTR194
DLR0211,ZIL Motors,LOC416,Bo,CNTR195
DLR0213,DKW Motors,LOC418,Cul De Sac,CNTR197
DLR0214,Horch Motors,LOC420,Ko_ice,CNTR198
DLR0215,Wanderer Motors,LOC422,Maribor,CNTR199
DLR0216,Maybach  Motors,LOC424,Gizo,CNTR200
DLR0217,Izh  Motors,LOC426,Hargeisa,CNTR201
DLR0218,Lagonda  Motors,LOC428,Burao,CNTR202
DLR0219,MG  Motors,LOC430,Durban,CNTR203
DLR0220,Morris  Motors,LOC432,Cape Town[Note 5],CNTR203
DLR0221,Austin  Motors,LOC434,Bird Island,CNTR204
DLR0222,Riley  Motors,LOC436,Akhalgori,CNTR205
DLR0223,Wolseley  Motors,LOC438,Yei,CNTR206
DLR0224,Standard  Motors,LOC440,Barcelona,CNTR207
DLR0225,Talbot  Motors,LOC442,Dehiwala-Mount Lavinia,CNTR208
DLR0226,Das Motors,LOC444,Khartoum,CNTR209
DLR0227,Ramani Motors,LOC446,Port Sudan,CNTR209
DLR0228,Deccan Motors,LOC448,Lelydorp,CNTR210
DLR0229,Herald Motors,LOC450,Barentsburg,CNTR211
DLR0230,Zion Automobils,LOC452,Gothenburg,CNTR212
DLR0231,Atlantic Motor Company,LOC454,Geneva,CNTR213
DLR0232,2008 NRHP-listed,LOC456,Aleppo,CNTR214
DLR0233,Blankinship Motor Company Building,LOC458,Taichung,CNTR215
DLR0234,Bohn Motor Company Automobile Dealership,LOC460,Greater Kaohsiung,CNTR215
DLR0235,Buick Automobile Company Building,LOC462,Khujand,CNTR216
DLR0236,Cadillac Automobile Company Building,LOC464,Mwanza,CNTR217
DLR0237,Casa de cadillac,LOC466,Nonthaburi,CNTR218
DLR0238,Cass Motor Sales,LOC468,Pak Kret,CNTR218
DLR0239,Claremore Auto Dealership,LOC470,Sokodé,CNTR219
DLR0240,Clemens Automobile Company Building,LOC472,Atafu,CNTR220
DLR0241,Colman Automotive Building,LOC474,Neiafu,CNTR221
DLR0242,H Street Playhouse,LOC476,Bender,CNTR222
DLR0243,Howard Motor Company Building,LOC478,San Fernando,CNTR223
DLR0244,Hupmobile Building,LOC480,Sfax,CNTR224
DLR0245,Jennings Ford Automobile Dealership,LOC482,Ankara,CNTR225
DLR0246,Jones Motor Company,LOC484,Türkmenabat,CNTR226
DLR0247,Kindel Building,LOC486,Honda Road,CNTR227
DLR0248,AC Cars Motors,LOC488,Asau,CNTR228
DLR0249,Acura Motors,LOC490,Gulu,CNTR229
DLR0250,Aixam-Mega (including Arola) Motors,LOC492,Kharkiv,CNTR230
DLR0251,Alfa Romeo Motors,LOC494,Donetsk,CNTR230
DLR0252,Alpine Motors,LOC496,Abu Dhabi,CNTR231
DLR0253,Alvis Motors,LOC498,Birmingham,CNTR232
DLR0254,"AMC, Eagle Motors",LOC500,Los Angeles,CNTR233
DLR0255,Anadol Motors,LOC502,Salto,CNTR234
DLR0256,Ariel Motors,LOC504,Namangan,CNTR235
DLR0257,ARO Motors,LOC506,Luganville,CNTR236
DLR0259,Asia Motors Motors,LOC508,Maracaibo,CNTR238
DLR0260,Aston Martin Motors,LOC510,Hanoi,CNTR239
DLR0261,Audi Motors,LOC512,Spanish Town,CNTR240
DLR0262,Autobianchi Motors,LOC514,Anna's Retreat,CNTR241
DLR0263,Auto-Union Motors,LOC516,Utufua,CNTR242
DLR0264,Auverland Motors,LOC518,Dakhla,CNTR243
DLR0265,Bentley Motors,LOC520,Aden,CNTR244
DLR0266,Bitter Motors,LOC522,Kitwe,CNTR245
DLR0267,BMW Motors,LOC524,Bulawayo,CNTR246
