Country_ID,Country_Name
CNTR218, Thailand
CNTR218, Thailand
CNTR219, Togo
CNTR220, Tokelau (New Zealand)
CNTR221, Tonga
CNTR222, Transnistria (Moldova)
CNTR223, Trinidad and Tobago
CNTR224, Tunisia
CNTR225, Turkey
CNTR226, Turkmenistan
CNTR227, Turks and Caicos Islands (UK)
CNTR228, Tuvalu
CNTR229, Uganda
CNTR230, Ukraine
CNTR230, Ukraine
CNTR231, United Arab Emirates
CNTR232, United Kingdom
CNTR233, United States of America
CNTR234, Uruguay
CNTR235, Uzbekistan
CNTR236, Vanuatu
CNTR237,  Vatican City
CNTR238, Venezuela
CNTR239, Vietnam
CNTR240," Virgin Islands, British (UK)"
CNTR241," Virgin Islands, United States (US)"
CNTR242, Wallis and Futuna (France)
CNTR243, Western Sahara
CNTR244, Yemen
CNTR245, Zambia
CNTR246, Zimbabwe
