order_id,customer_id,order_amount,order_year,channel
274,2026,195.42,2023,Online
275,2447,318.79,2019,Online
276,4824,190.97,2021,In-Store
277,561,40.36,2024,In-Store
278,2652,319.09,2019,In-Store
279,3905,114.07,2019,Online
280,540,416.76,2019,Online
281,4756,846.48,2019,In-Store
282,3137,43.09,2024,In-Store
283,3290,82.2,2019,In-Store
284,2611,160.77,2024,Online
285,4913,212.97,2022,Online
286,1945,385.92,2019,Online
287,3146,188.11,2023,Online
288,2759,78.39,2024,In-Store
289,3261,262.71,2021,Online
290,4108,83.2,2020,Online
291,1896,121.58,2020,In-Store
292,2501,414.66,2022,In-Store
293,2830,111.65,2024,In-Store
294,3874,85.45,2019,Online
295,48,127.91,2023,Online
296,2365,289.76,2020,Online
297,2257,29.78,2019,In-Store
298,4673,261.13,2020,Online
299,754,184.48,2020,Online
300,2803,112.92,2019,Online
301,4650,186.08,2021,In-Store
302,3653,168.5,2021,Online
303,403,157.3,2022,Online
304,2087,179.91,2023,In-Store
305,2228,173.48,2019,Online
306,3411,97.42,2020,Online
307,2991,134.21,2021,Online
308,4644,251.96,2023,In-Store
309,1150,54.26,2024,In-Store
310,63,209.98,2023,In-Store
311,4940,63.39,2019,Online
312,3154,200.6,2019,In-Store
313,1009,51.07,2019,Online
314,2032,105.11,2021,Online
315,1323,226.93,2022,In-Store
316,2082,162.18,2022,Online
317,752,184.06,2022,Online
318,4145,87.36,2023,Online
319,658,334.62,2023,In-Store
320,1661,165.43,2021,Online
321,701,148.9,2019,Online
322,1081,190.24,2019,In-Store
323,2157,26.28,2020,In-Store
324,1541,167.01,2020,Online
325,3033,194.97,2020,In-Store
326,1984,102.07,2023,In-Store
327,315,362.66,2022,In-Store
328,3082,49.36,2021,Online
329,4734,334.15,2022,Online
330,2315,447.51,2019,Online
331,2136,271.32,2020,Online
332,1650,108.52,2022,Online
333,3220,214.87,2019,Online
334,3801,86.12,2020,In-Store
335,2479,620.7,2022,Online
336,4068,157.73,2022,Online
337,1776,88.98,2022,Online
338,1967,14.79,2024,Online
339,1768,182.48,2024,In-Store
340,3816,394.52,2020,Online
341,242,264.2,2023,Online
342,4798,361.79,2020,Online
343,2950,678.52,2021,In-Store
344,4837,188.16,2024,In-Store
345,4877,159.32,2020,In-Store
346,2257,757.86,2022,In-Store
347,4112,217.1,2019,Online
348,3369,57.74,2019,In-Store
349,367,108.31,2022,In-Store
350,2828,734.25,2023,Online
351,1253,244.4,2023,In-Store
352,2488,398.77,2020,In-Store
353,4786,78.15,2020,In-Store
354,3604,397.44,2019,Online
355,3522,148.27,2022,Online
356,4943,408.74,2022,Online
357,4518,585.37,2020,Online
358,1644,104.73,2021,In-Store
359,1213,320.45,2024,Online
360,4704,227.7,2020,Online
361,20,133.06,2024,In-Store
362,676,113.47,2020,In-Store
363,4478,217.08,2023,Online
364,609,92.28,2024,Online
365,62,176.38,2020,Online
366,1266,337.49,2020,In-Store
367,2286,53.72,2021,In-Store
368,1155,83.15,2019,Online
369,1629,104.91,2019,Online
370,1627,268.61,2020,Online
371,3717,368.63,2022,In-Store
372,1443,212.47,2020,Online
373,1654,323.99,2023,In-Store
374,2503,253.28,2021,Online
375,3270,625.09,2020,Online
376,282,72.49,2019,In-Store
377,4982,69.75,2020,Online
378,1025,14.15,2024,In-Store
379,4819,52.65,2021,Online
380,3404,105.32,2021,In-Store
381,1236,203.57,2022,In-Store
382,4183,204.16,2022,In-Store
383,4761,269.27,2022,Online
384,4958,188.61,2020,Online
385,786,198.9,2019,Online
386,3318,269.09,2023,In-Store
387,1668,567.18,2019,In-Store
388,3009,454.22,2021,In-Store
389,3195,60.68,2019,In-Store
390,4790,700.57,2020,Online
391,3776,760.96,2022,Online
392,2447,60.67,2019,In-Store
393,3791,156.74,2021,Online
394,534,232.52,2021,Online
395,402,299.18,2023,Online
396,3664,82.3,2019,In-Store
397,130,43.64,2020,In-Store
398,2340,439.3,2021,In-Store
399,4372,331.45,2023,Online
400,2960,193.64,2024,In-Store
401,1859,161.19,2021,In-Store
402,2974,363.31,2023,Online
403,4151,69.48,2021,Online
404,3650,257.97,2020,Online
405,2787,336.33,2020,Online
406,3098,187.56,2021,In-Store
407,3513,81.59,2024,Online
408,4861,87.89,2024,In-Store
409,1221,140.53,2022,In-Store
410,642,188.63,2020,In-Store
411,3315,87.43,2020,In-Store
412,724,358.27,2023,In-Store
413,4898,239.72,2023,In-Store
414,738,48.38,2019,In-Store
415,4854,250.2,2019,In-Store
416,1300,406.55,2020,Online
417,3481,299.77,2024,Online
418,340,566.83,2020,Online
419,153,37.56,2021,In-Store
420,1422,117.26,2022,In-Store
421,3052,275.63,2021,Online
422,427,135.39,2024,In-Store
423,3559,184.57,2024,Online
424,1136,589.23,2020,Online
425,2373,453.12,2023,In-Store
426,3330,296.36,2019,In-Store
427,950,214.93,2024,In-Store
428,1374,301.54,2022,In-Store
429,957,340.58,2023,Online
430,1702,137.3,2020,In-Store
431,2942,376.78,2022,Online
432,2483,269.9,2024,Online
433,1304,266.34,2022,Online
434,371,195.88,2019,Online
435,2981,297.63,2022,In-Store
436,2297,407.21,2020,Online
437,4799,89.35,2019,Online
438,2126,676.23,2020,In-Store
439,2967,430.96,2022,In-Store
440,4146,77.73,2024,In-Store
441,2743,373.77,2020,In-Store
442,4022,170.92,2023,Online
443,2365,67.29,2022,In-Store
444,763,119.34,2024,In-Store
445,4063,126.6,2021,In-Store
446,1005,315.06,2021,Online
447,3756,194.23,2023,In-Store
448,2847,267.84,2021,Online
449,350,358.28,2021,Online
450,2965,296.32,2019,In-Store
451,687,362.87,2024,In-Store
452,4638,110.3,2024,In-Store
453,3127,158.1,2020,Online
454,4457,94.01,2024,In-Store
455,2756,166.03,2022,Online
456,3525,98.59,2024,In-Store
457,3625,126.91,2021,Online
458,2733,112.49,2022,In-Store
459,1694,222.12,2023,Online
460,2893,510.11,2021,In-Store
461,3812,35.25,2019,Online
462,4181,146.67,2022,Online
463,685,332.22,2023,In-Store
464,4341,129.9,2019,Online
465,2920,409.23,2024,In-Store
466,3757,92.95,2024,Online
467,3284,149.71,2020,Online
468,4692,139.29,2023,In-Store
469,4027,115.04,2019,In-Store
470,1157,162.73,2022,Online
471,3062,414.32,2019,In-Store
472,4446,222.1,2023,In-Store
473,2330,582.77,2020,Online
474,1293,82.45,2020,In-Store
475,1885,479.87,2023,In-Store
476,1561,19.76,2024,Online
477,984,335.18,2022,Online
478,2068,631.68,2020,In-Store
479,1864,604.83,2021,In-Store
480,1980,116.07,2024,Online
481,1737,369.46,2021,Online
482,2453,450.46,2020,Online
483,1919,321.62,2022,Online
484,701,134.71,2022,Online
485,4047,102.07,2022,Online
486,2074,173.45,2022,In-Store
487,4662,356.96,2022,Online
488,3754,146.23,2019,Online
489,395,175.84,2020,Online
490,1957,179.09,2023,In-Store
491,3049,300.34,2024,Online
492,3453,200.76,2021,In-Store
493,523,117.76,2020,In-Store
494,1563,114.48,2021,Online
495,2910,496.31,2020,Online
496,2850,370.36,2020,In-Store
497,550,298.73,2021,Online
498,1469,225.12,2022,Online
499,833,34.36,2021,Online
500,4483,455.66,2021,Online
501,1422,119.21,2021,In-Store
502,286,128.4,2022,In-Store
503,2746,341.67,2020,Online
504,3766,456.32,2023,In-Store
505,4465,203.94,2023,Online
506,1446,268.9,2020,Online
507,1467,41.18,2021,Online
508,1777,219.17,2020,In-Store
509,3656,170.58,2019,Online
510,915,278.63,2020,In-Store
511,288,239.4,2019,In-Store
512,4191,85.1,2024,In-Store
513,2089,371.38,2024,Online
514,4427,307.9,2023,In-Store
515,1805,156.05,2023,Online
516,1179,55.98,2023,In-Store
517,2552,589.89,2021,In-Store
518,4371,203.57,2019,In-Store
519,1589,277.91,2019,In-Store
520,1957,113.19,2019,Online
521,1776,317.06,2020,In-Store
522,4863,222.74,2021,In-Store
523,988,247.69,2024,Online
524,1204,79.45,2023,In-Store
525,3331,229.46,2024,In-Store
526,1120,77.32,2020,In-Store
527,197,302.26,2021,Online
528,3976,311.21,2023,Online
529,526,225.18,2019,In-Store
530,4728,202.45,2019,In-Store
531,1411,267.59,2024,In-Store
532,4504,97.19,2019,Online
533,1293,710.88,2022,In-Store
534,1195,144.53,2019,In-Store
535,1949,300.69,2023,Online
536,3656,388.56,2020,Online
537,4787,166.49,2020,In-Store
538,2218,357.67,2022,In-Store
539,4255,507.35,2022,Online
540,3581,279.56,2023,In-Store
541,1018,104.94,2021,Online
542,3154,93.59,2022,In-Store
543,3591,682.85,2024,Online
544,4208,132.98,2022,In-Store
545,4070,333.33,2023,Online
546,48,666.43,2024,In-Store
547,3664,171.02,2020,Online
548,4472,113.7,2023,Online
549,828,183.92,2019,Online
550,4723,248.16,2021,Online
551,2090,295.78,2022,Online
552,2057,57.97,2021,Online
553,819,114.23,2023,In-Store
554,4753,201.66,2020,Online
555,3985,286.68,2021,In-Store
556,3681,336.03,2022,Online
557,1812,410.56,2019,In-Store
558,4886,98.44,2021,In-Store
559,3115,206.72,2023,In-Store
560,1630,204.96,2024,Online
561,1544,370.89,2023,In-Store
562,3580,367.52,2021,In-Store
563,1905,94.22,2023,Online
564,1437,68.72,2024,Online
565,3318,152.2,2021,In-Store
566,3521,62.14,2021,Online
567,3060,104.92,2020,Online
568,4117,469.94,2023,Online
569,999,46.03,2024,In-Store
570,1432,49.81,2020,Online
571,4553,68.07,2024,Online
572,3062,386.21,2023,Online
573,265,263.22,2020,In-Store
574,3732,18.3,2019,In-Store
575,2275,97.91,2023,Online
576,3876,38.6,2020,In-Store
577,3318,51.24,2024,In-Store
578,2047,342.75,2019,Online
579,3145,142.56,2019,Online
580,3222,299.03,2024,Online
581,3141,1.76,2019,In-Store
582,4901,191.69,2020,In-Store
583,1254,19.77,2019,In-Store
584,723,103.45,2022,In-Store
585,84,54.49,2023,In-Store
586,4836,105.71,2022,In-Store
587,3371,94.82,2022,Online
588,3820,232.56,2023,In-Store
589,3365,141.75,2022,Online
590,1758,153.36,2019,Online
591,4319,138.32,2021,Online
592,2781,51.22,2022,Online
593,3288,324.19,2024,Online
594,2453,175.7,2023,In-Store
595,329,75.66,2020,In-Store
596,426,115.84,2020,In-Store
597,770,455.84,2019,Online
598,3976,94.09,2022,In-Store
599,608,128.39,2021,Online
600,1853,326.42,2020,In-Store
601,2673,161.09,2021,In-Store
602,2125,168.26,2024,Online
603,1301,225.17,2019,In-Store
604,466,330.65,2024,Online
605,1965,42.75,2023,In-Store
606,1946,449.57,2023,Online
607,2540,317.79,2019,In-Store
608,2361,63.63,2024,Online
609,2040,155.6,2021,Online
610,1185,104.46,2024,In-Store
611,3935,86.8,2021,In-Store
612,3218,640.43,2021,Online
613,2783,395.71,2019,Online
614,778,232.66,2020,Online
615,3380,78.04,2020,In-Store
616,2419,413.84,2022,Online
617,4078,115.81,2023,In-Store
618,4263,125.87,2024,In-Store
619,2440,100.07,2023,Online
620,4832,178.08,2022,Online
621,1990,308.71,2021,In-Store
622,1067,349.97,2019,Online
623,945,171.64,2023,In-Store
624,29,434.32,2021,In-Store
625,1898,151.39,2020,Online
626,1698,106.21,2021,Online
627,2815,193.56,2022,Online
628,3366,309.51,2019,Online
629,2489,350.8,2024,Online
630,1666,194.93,2023,In-Store
631,4620,207.48,2022,Online
632,1571,690.8,2020,Online
633,1734,400.74,2020,Online
634,760,147.17,2024,Online
635,2158,51.37,2019,In-Store
636,1352,87.57,2024,In-Store
637,3477,159.68,2024,In-Store
638,1269,60.49,2024,In-Store
639,1786,306.58,2023,Online
640,3950,111.34,2020,In-Store
641,2608,283.0,2022,In-Store
642,399,188.79,2020,In-Store
643,2631,92.01,2023,Online
644,2447,125.67,2021,In-Store
645,1670,278.23,2020,Online
646,239,191.53,2020,Online
647,3537,161.11,2020,In-Store
648,3862,293.15,2021,Online
649,3104,192.94,2023,Online
650,1147,370.36,2022,In-Store
651,1558,296.47,2023,Online
652,3739,122.37,2019,In-Store
653,2158,97.62,2024,In-Store
654,3452,514.65,2022,In-Store
655,300,249.28,2021,Online
656,3699,107.26,2019,Online
657,4054,26.07,2020,In-Store
658,4860,33.97,2020,In-Store
659,249,46.91,2024,Online
660,2569,180.98,2023,In-Store
661,4130,277.66,2021,Online
662,4324,73.04,2021,Online
663,4681,219.21,2020,Online
664,2861,193.7,2020,In-Store
665,724,194.11,2024,Online
666,570,130.92,2024,In-Store
667,220,66.65,2024,Online
668,1395,62.37,2021,In-Store
669,2835,278.03,2021,In-Store
670,2123,522.31,2023,In-Store
671,4232,207.38,2020,In-Store
672,4001,250.1,2021,In-Store
673,4350,353.19,2019,In-Store
674,3090,304.4,2019,Online
675,50,245.84,2019,Online
676,515,494.55,2022,Online
677,2792,356.15,2019,In-Store
678,2779,53.01,2021,Online
679,2619,149.26,2022,Online
680,1838,83.29,2024,In-Store
681,4672,316.62,2020,Online
682,1166,27.75,2021,Online
683,4999,412.83,2019,Online
684,2250,122.65,2024,Online
685,415,233.62,2024,In-Store
686,2269,361.73,2020,Online
687,1105,233.08,2024,Online
688,4859,71.13,2019,In-Store
689,4659,372.07,2023,Online
690,3357,236.19,2022,In-Store
691,2417,272.5,2024,In-Store
692,1935,59.17,2020,In-Store
693,204,417.18,2019,Online
694,69,141.97,2023,In-Store
695,516,9.52,2022,Online
696,3564,303.0,2019,In-Store
697,4457,81.78,2021,Online
698,1465,151.36,2023,In-Store
699,1653,144.32,2020,In-Store
700,707,134.37,2019,Online
701,1626,78.24,2020,Online
702,4753,300.32,2021,In-Store
703,3786,322.41,2020,Online
704,1346,170.76,2023,Online
705,344,175.11,2022,Online
706,3787,293.3,2019,In-Store
707,536,164.75,2024,In-Store
708,355,427.8,2022,Online
709,3543,198.19,2019,Online
710,983,575.43,2020,In-Store
711,1346,120.13,2020,In-Store
712,3010,206.87,2023,Online
713,527,100.41,2020,In-Store
714,931,328.84,2021,In-Store
715,2757,132.43,2023,Online
716,2283,199.14,2019,In-Store
717,1947,521.46,2020,Online
718,3928,164.23,2019,In-Store
719,2542,197.29,2020,Online
720,1917,240.44,2023,Online
721,3361,69.18,2024,Online
722,1594,250.45,2021,In-Store
723,2926,255.29,2019,In-Store
724,3626,198.96,2022,In-Store
725,1224,330.6,2020,In-Store
726,1960,72.7,2023,In-Store
727,966,116.41,2019,Online
728,4993,89.6,2023,Online
729,3679,187.24,2019,Online
730,4313,246.57,2021,In-Store
731,623,92.62,2024,In-Store
732,4449,457.54,2020,In-Store
733,4788,114.85,2019,Online
734,4727,287.36,2022,In-Store
735,2373,68.52,2020,In-Store
736,2949,214.88,2020,Online
737,3300,494.06,2023,In-Store
738,1169,233.28,2020,Online
739,4750,221.8,2019,In-Store
740,392,386.11,2021,In-Store
741,3810,252.32,2019,In-Store
742,2408,157.2,2024,Online
743,4865,253.61,2020,In-Store
744,4893,108.48,2022,Online
745,4261,40.49,2024,In-Store
746,4829,160.24,2022,In-Store
747,581,136.43,2024,In-Store
748,821,532.87,2019,In-Store
749,1248,270.92,2019,Online
750,124,370.13,2019,Online
751,4440,138.78,2019,Online
752,1875,474.19,2023,In-Store
753,524,225.65,2019,In-Store
754,3124,223.53,2023,Online
755,4225,145.58,2020,Online
756,3199,368.87,2019,Online
757,2786,148.41,2019,Online
758,2119,102.44,2022,In-Store
759,1211,135.82,2020,In-Store
760,1027,248.82,2020,In-Store
761,4118,114.08,2019,In-Store
762,4262,475.11,2020,Online
763,498,666.42,2021,Online
764,4530,694.35,2024,In-Store
765,2806,111.3,2022,Online
766,4933,84.43,2020,In-Store
767,1694,102.61,2021,Online
768,4759,39.48,2019,In-Store
769,725,205.08,2022,In-Store
770,376,171.69,2024,In-Store
771,4399,361.66,2022,Online
772,2453,131.48,2022,Online
773,3860,328.75,2021,In-Store
774,1687,40.69,2023,Online
775,4804,374.05,2022,Online
776,257,98.1,2021,In-Store
777,4495,75.2,2024,Online
778,3601,141.02,2023,Online
779,51,426.32,2021,Online
780,595,193.32,2021,Online
781,4914,235.43,2021,Online
782,4732,466.23,2022,Online
783,3874,174.12,2019,Online
784,3437,406.86,2024,In-Store
785,1073,113.65,2022,In-Store
786,1477,322.14,2024,Online
787,4871,54.29,2024,Online
788,3021,144.35,2022,Online
789,1665,216.25,2022,Online
790,4493,153.81,2022,Online
791,2731,26.15,2023,In-Store
792,1396,230.0,2023,Online
793,3898,288.74,2021,Online
794,4625,242.71,2020,Online
795,4781,335.78,2024,Online
796,4046,86.34,2020,Online
797,2661,52.27,2019,Online
798,2234,705.23,2021,In-Store
799,3323,99.58,2024,In-Store
800,4198,149.67,2019,Online
801,4219,633.6,2023,In-Store
802,2102,223.26,2022,Online
803,1307,388.99,2019,In-Store
804,1638,86.47,2019,Online
805,1141,54.96,2023,In-Store
806,616,77.14,2021,Online
807,4653,332.81,2022,In-Store
808,4210,169.43,2022,In-Store
809,1567,706.14,2021,In-Store
810,977,326.57,2024,Online
811,4797,87.94,2023,In-Store
812,1317,145.85,2024,In-Store
813,2340,75.82,2023,In-Store
814,4357,341.33,2019,Online
815,2097,338.08,2020,Online
816,379,409.07,2020,Online
817,3466,167.01,2023,Online
818,2272,89.49,2021,Online
819,1047,328.25,2024,In-Store
820,1008,84.95,2021,Online
821,110,108.86,2020,In-Store
822,2772,236.58,2024,In-Store
823,3884,300.96,2021,Online
824,2601,385.94,2021,In-Store
825,3244,538.33,2024,Online
826,1006,617.63,2022,In-Store
827,4794,448.76,2024,Online
828,306,291.61,2021,In-Store
829,959,52.42,2022,In-Store
830,954,319.37,2024,Online
831,2669,107.62,2022,Online
832,3539,259.99,2024,In-Store
833,2678,89.27,2020,Online
834,1631,306.39,2022,Online
835,1792,256.61,2023,Online
836,2604,438.67,2019,Online
837,1972,271.41,2022,In-Store
838,67,318.85,2023,In-Store
839,835,388.37,2023,Online
840,206,117.64,2021,Online
841,2834,306.6,2023,In-Store
842,4251,166.98,2021,Online
843,1715,252.67,2023,In-Store
844,1533,359.31,2020,Online
845,3146,48.87,2020,In-Store
846,3121,114.25,2020,In-Store
847,708,106.85,2020,Online
848,179,175.89,2024,Online
849,113,122.87,2020,In-Store
850,757,367.06,2023,In-Store
851,897,83.28,2022,Online
852,2869,57.24,2022,Online
853,159,292.38,2022,In-Store
854,786,562.44,2020,Online
855,1804,618.17,2020,Online
856,1840,202.64,2023,Online
857,3169,165.39,2024,Online
858,2299,97.71,2022,In-Store
859,4079,68.81,2024,Online
860,1543,67.05,2021,In-Store
861,4209,60.29,2020,In-Store
862,4355,200.95,2019,Online
863,2155,183.89,2019,In-Store
864,575,471.76,2019,In-Store
865,3039,148.46,2023,In-Store
866,1382,552.89,2021,Online
867,1223,455.55,2020,In-Store
868,2475,101.74,2023,Online
869,1502,233.74,2022,In-Store
870,859,188.73,2022,Online
871,3575,389.08,2020,In-Store
872,3730,46.84,2024,In-Store
873,2966,49.83,2020,In-Store
874,3192,160.92,2019,Online
875,1597,303.54,2021,Online
876,1562,20.45,2019,In-Store
877,2523,639.2,2021,In-Store
878,2600,153.09,2023,In-Store
879,2392,54.64,2023,In-Store
880,2676,77.85,2024,Online
881,2184,286.94,2021,Online
882,277,120.01,2023,Online
883,3883,299.14,2021,In-Store
