book_id,book_title,book_genre,author_id,author_name,author_gender,author_web_site,published_date,publisher
72,Book 72,Technology,19,Author 72,FEMALE,https://author72.com,2024-01-01,Prentice Hall
73,Book 73,Fiction,5,Author 73,FEMALE,https://author73.com,2024-01-01,Prentice Hall
74,Book 74,Technology,9,Author 74,MALE,https://author74.com,2024-01-01,Penguin
75,Book 75,Technology,20,Author 75,FEMALE,https://author75.com,2024-01-01,O'Reilly
76,Book 76,Fiction,7,Author 76,MALE,https://author76.com,2024-01-01,Penguin
77,Book 77,History,22,Author 77,FEMALE,https://author77.com,2024-01-01,Penguin
78,Book 78,Fiction,10,Author 78,FEMALE,https://author78.com,2024-01-01,Prentice Hall
79,Book 79,Data Science,26,Author 79,FEMALE,https://author79.com,2024-01-01,Prentice Hall
80,Book 80,Fiction,17,Author 80,FEMALE,https://author80.com,2024-01-01,O'Reilly
81,Book 81,Fiction,30,Author 81,FEMALE,https://author81.com,2024-01-01,O'Reilly
82,Book 82,Business,13,Author 82,MALE,https://author82.com,2024-01-01,Penguin
83,Book 83,Fiction,20,Author 83,FEMALE,https://author83.com,2024-01-01,O'Reilly
84,Book 84,Fiction,23,Author 84,MALE,https://author84.com,2024-01-01,O'Reilly
85,Book 85,History,4,Author 85,MALE,https://author85.com,2024-01-01,Prentice Hall
86,Book 86,Data Science,18,Author 86,MALE,https://author86.com,2024-01-01,Prentice Hall
87,Book 87,Technology,26,Author 87,MALE,https://author87.com,2024-01-01,O'Reilly
88,Book 88,Technology,5,Author 88,FEMALE,https://author88.com,2024-01-01,Prentice Hall
89,Book 89,Data Science,23,Author 89,FEMALE,https://author89.com,2024-01-01,Prentice Hall
90,Book 90,Data Science,17,Author 90,FEMALE,https://author90.com,2024-01-01,Penguin
91,Book 91,Data Science,18,Author 91,FEMALE,https://author91.com,2024-01-01,Penguin
92,Book 92,Business,17,Author 92,MALE,https://author92.com,2024-01-01,O'Reilly
93,Book 93,History,9,Author 93,MALE,https://author93.com,2024-01-01,Penguin
94,Book 94,Fiction,23,Author 94,MALE,https://author94.com,2024-01-01,Prentice Hall
95,Book 95,Business,26,Author 95,MALE,https://author95.com,2024-01-01,Prentice Hall
96,Book 96,Fiction,24,Author 96,MALE,https://author96.com,2024-01-01,O'Reilly
97,Book 97,Fiction,29,Author 97,MALE,https://author97.com,2024-01-01,Prentice Hall
98,Book 98,History,2,Author 98,FEMALE,https://author98.com,2024-01-01,Prentice Hall
99,Book 99,Fiction,9,Author 99,FEMALE,https://author99.com,2024-01-01,O'Reilly
100,Book 100,Fiction,12,Author 100,FEMALE,https://author100.com,2024-01-01,O'Reilly
84,Book 84,Fiction,23,Author 84,MALE,https://author84.com,2024-01-01,O'Reilly
31,Book 31,Data Science,8,Author 31,MALE,https://author31.com,2024-01-01,Penguin
57,Book 57,Data Science,4,Author 57,MALE,https://author57.com,2024-01-01,Penguin
25,Book 25,Technology,30,Author 25,MALE,https://author25.com,2024-01-01,O'Reilly
17,Book 17,Fiction,17,Author 17,FEMALE,https://author17.com,2024-01-01,O'Reilly
24,Book 24,History,29,Author 24,MALE,https://author24.com,2024-01-01,Prentice Hall
3,Book 3,History,7,Author 3,MALE,https://author3.com,2024-01-01,O'Reilly
28,Book 28,Data Science,28,Author 28,FEMALE,https://author28.com,2024-01-01,Penguin
29,Book 29,Data Science,29,Author 29,MALE,https://author29.com,2024-01-01,Prentice Hall
14,Book 14,Business,12,Author 14,FEMALE,https://author14.com,2024-01-01,Penguin
100,Book 100,Fiction,12,Author 100,FEMALE,https://author100.com,2024-01-01,O'Reilly
93,Book 93,History,9,Author 93,MALE,https://author93.com,2024-01-01,Penguin
77,Book 77,History,22,Author 77,FEMALE,https://author77.com,2024-01-01,Penguin
15,Book 15,Fiction,23,Author 15,FEMALE,https://author15.com,2024-01-01,O'Reilly
1,Book 1,Technology,3,Author 1,MALE,https://author1.com,2024-01-01,Prentice Hall
22,Book 22,Business,26,Author 22,FEMALE,https://author22.com,2024-01-01,Prentice Hall
4,Book 4,Data Science,14,Author 4,FEMALE,https://author4.com,2024-01-01,O'Reilly
30,Book 30,Technology,2,Author 30,FEMALE,https://author30.com,2024-01-01,Prentice Hall
62,Book 62,History,19,Author 62,MALE,https://author62.com,2024-01-01,Penguin
80,Book 80,Fiction,17,Author 80,FEMALE,https://author80.com,2024-01-01,O'Reilly
