order_id,customer_id,date_id,order_date,channel,order_amount,tax
133,1191,20220406,2022-04-06,Online,35.74,2.5
134,4907,20231225,2023-12-25,Online,21.02,1.47
135,565,20240918,2024-09-18,In-Store,13.95,0.98
136,3776,20210101,2021-01-01,Online,11.29,0.79
137,3178,20211220,2021-12-20,Online,57.03,3.99
138,966,20210224,2021-02-24,Online,36.36,2.55
139,4680,20240426,2024-04-26,Online,38.96,2.73
140,998,20251213,2025-12-13,Online,53.41,3.74
141,2577,20210519,2021-05-19,In-Store,10.72,0.75
142,3939,20210109,2021-01-09,In-Store,18.36,1.29
143,3803,20231017,2023-10-17,Online,25.84,1.81
144,1589,20221203,2022-12-03,Online,24.61,1.72
145,4184,20230402,2023-04-02,Online,26.9,1.88
146,4812,20231007,2023-10-07,Online,18.69,1.31
147,2360,20230819,2023-08-19,Online,53.09,3.72
148,3252,20220122,2022-01-22,Online,15.98,1.12
149,1808,20220308,2022-03-08,Online,15.9,1.11
150,1756,20220604,2022-06-04,Online,16.69,1.17
151,2334,20230907,2023-09-07,Online,43.88,3.07
152,975,20210522,2021-05-22,Online,24.52,1.72
153,3448,20240524,2024-05-24,Online,15.69,1.1
154,815,20250705,2025-07-05,In-Store,13.7,0.96
155,28,20221114,2022-11-14,Online,19.08,1.34
156,2186,20240103,2024-01-03,Online,19.19,1.34
157,385,20231012,2023-10-12,Online,21.73,1.52
158,2805,20251010,2025-10-10,In-Store,34.14,2.39
159,2599,20221203,2022-12-03,In-Store,62.12,4.35
160,679,20220913,2022-09-13,Online,28.29,1.98
161,1213,20241223,2024-12-23,Online,19.23,1.35
162,123,20250809,2025-08-09,Online,8.98,0.63
163,2961,20220221,2022-02-21,In-Store,11.55,0.81
164,1458,20240219,2024-02-19,In-Store,12.0,0.84
165,3565,20250325,2025-03-25,Online,15.89,1.11
166,3138,20211120,2021-11-20,In-Store,20.45,1.43
167,1855,20250606,2025-06-06,In-Store,24.85,1.74
168,112,20210123,2021-01-23,Online,52.73,3.69
169,1592,20220221,2022-02-21,In-Store,87.57,6.13
170,1616,20230413,2023-04-13,Online,25.5,1.78
171,1657,20230415,2023-04-15,Online,33.09,2.32
172,4764,20221204,2022-12-04,In-Store,39.55,2.77
173,808,20220421,2022-04-21,In-Store,16.38,1.15
174,1340,20211007,2021-10-07,Online,28.56,2.0
175,4145,20250510,2025-05-10,In-Store,15.32,1.07
176,4626,20241116,2024-11-16,Online,56.73,3.97
177,2326,20221105,2022-11-05,Online,19.65,1.38
178,2691,20220402,2022-04-02,In-Store,24.44,1.71
179,268,20230710,2023-07-10,Online,114.52,8.02
180,4023,20240324,2024-03-24,Online,25.24,1.77
181,2965,20240126,2024-01-26,In-Store,28.39,1.99
182,2382,20210619,2021-06-19,Online,47.02,3.29
183,1511,20210409,2021-04-09,Online,52.02,3.64
184,2209,20241119,2024-11-19,Online,22.45,1.57
185,3672,20251210,2025-12-10,In-Store,32.44,2.27
186,405,20250520,2025-05-20,Online,33.17,2.32
187,2529,20210314,2021-03-14,In-Store,33.15,2.32
188,172,20241228,2024-12-28,Online,20.59,1.44
189,3846,20220620,2022-06-20,In-Store,21.02,1.47
190,1044,20230711,2023-07-11,Online,17.97,1.26
191,4505,20250505,2025-05-05,Online,19.07,1.33
192,2369,20230524,2023-05-24,In-Store,29.7,2.08
193,2271,20210928,2021-09-28,Online,32.47,2.27
194,1787,20220420,2022-04-20,Online,11.59,0.81
195,2581,20250407,2025-04-07,In-Store,33.34,2.33
196,1682,20230101,2023-01-01,In-Store,31.03,2.17
197,1786,20210303,2021-03-03,Online,39.13,2.74
198,969,20210621,2021-06-21,Online,21.5,1.5
199,1710,20251018,2025-10-18,Online,8.87,0.62
200,4043,20240404,2024-04-04,In-Store,66.94,4.69
201,1211,20220918,2022-09-18,Online,20.85,1.46
202,4083,20221102,2022-11-02,Online,5.0,0.35
203,4297,20220803,2022-08-03,In-Store,29.09,2.04
204,3322,20240204,2024-02-04,Online,46.28,3.24
205,154,20250925,2025-09-25,In-Store,14.5,1.02
206,2799,20230114,2023-01-14,In-Store,33.89,2.37
207,4150,20250302,2025-03-02,Online,30.15,2.11
208,1812,20230309,2023-03-09,Online,23.79,1.67
209,1411,20230225,2023-02-25,Online,17.19,1.2
210,1599,20231016,2023-10-16,Online,59.77,4.18
211,2114,20230610,2023-06-10,In-Store,21.24,1.49
212,355,20251227,2025-12-27,In-Store,39.37,2.76
213,1167,20220409,2022-04-09,Online,18.74,1.31
214,3226,20220806,2022-08-06,In-Store,42.59,2.98
215,2352,20221218,2022-12-18,In-Store,25.61,1.79
216,1220,20210412,2021-04-12,Online,81.5,5.71
217,4656,20240109,2024-01-09,In-Store,16.56,1.16
218,1474,20220511,2022-05-11,Online,35.15,2.46
219,638,20240124,2024-01-24,In-Store,17.13,1.2
220,986,20220123,2022-01-23,Online,9.64,0.67
221,1478,20231006,2023-10-06,In-Store,11.52,0.81
222,2609,20231216,2023-12-16,Online,19.15,1.34
223,336,20221217,2022-12-17,In-Store,68.52,4.8
224,4266,20230707,2023-07-07,In-Store,19.74,1.38
225,4375,20230627,2023-06-27,Online,24.01,1.68
226,1584,20241116,2024-11-16,In-Store,44.2,3.09
227,3864,20251123,2025-11-23,Online,90.29,6.32
228,2987,20251227,2025-12-27,In-Store,41.98,2.94
229,4218,20210920,2021-09-20,In-Store,52.68,3.69
230,1377,20231003,2023-10-03,In-Store,13.77,0.96
231,3033,20230818,2023-08-18,Online,29.43,2.06
232,366,20250411,2025-04-11,In-Store,6.76,0.47
233,54,20251004,2025-10-04,Online,65.82,4.61
234,4362,20221107,2022-11-07,Online,31.84,2.23
235,1469,20251007,2025-10-07,Online,43.24,3.03
236,2216,20230422,2023-04-22,In-Store,71.54,5.01
237,1141,20211007,2021-10-07,Online,19.89,1.39
238,4372,20210626,2021-06-26,Online,27.8,1.95
239,1912,20240909,2024-09-09,Online,20.85,1.46
240,885,20220413,2022-04-13,Online,47.23,3.31
241,3024,20250816,2025-08-16,In-Store,36.27,2.54
242,1018,20241021,2024-10-21,Online,35.7,2.5
243,1289,20220607,2022-06-07,In-Store,25.51,1.79
244,3356,20211008,2021-10-08,Online,36.26,2.54
245,4795,20240321,2024-03-21,In-Store,18.38,1.29
246,3762,20240211,2024-02-11,In-Store,35.91,2.51
247,613,20230409,2023-04-09,Online,36.22,2.54
248,1560,20240706,2024-07-06,In-Store,18.62,1.3
249,3969,20240714,2024-07-14,Online,12.92,0.9
250,1367,20211218,2021-12-18,In-Store,61.3,4.29
251,3691,20250419,2025-04-19,In-Store,54.9,3.84
252,2347,20210507,2021-05-07,Online,31.2,2.18
253,4407,20251215,2025-12-15,In-Store,22.83,1.6
254,1781,20231118,2023-11-18,Online,15.94,1.12
255,4675,20241116,2024-11-16,Online,29.24,2.05
256,2031,20251206,2025-12-06,In-Store,17.26,1.21
257,3626,20221114,2022-11-14,Online,17.3,1.21
258,967,20220226,2022-02-26,Online,28.36,1.99
259,2649,20211125,2021-11-25,In-Store,61.92,4.33
260,1549,20210904,2021-09-04,Online,27.98,1.96
261,69,20251124,2025-11-24,Online,14.0,0.98
262,2176,20241222,2024-12-22,In-Store,18.58,1.3
263,848,20241128,2024-11-28,Online,37.77,2.64
264,4791,20230712,2023-07-12,Online,79.88,5.59
265,4024,20220324,2022-03-24,Online,5.25,0.37
266,3688,20230113,2023-01-13,Online,15.23,1.07
267,2253,20221107,2022-11-07,Online,21.6,1.51
268,1283,20250716,2025-07-16,Online,18.17,1.27
269,1613,20250121,2025-01-21,Online,26.81,1.88
270,1013,20250222,2025-02-22,In-Store,13.16,0.92
271,2748,20250414,2025-04-14,In-Store,26.57,1.86
272,4040,20231202,2023-12-02,In-Store,9.1,0.64
273,929,20221104,2022-11-04,Online,33.77,2.36
274,24,20250428,2025-04-28,Online,26.18,1.83
275,621,20220103,2022-01-03,In-Store,46.14,3.23
276,2289,20250326,2025-03-26,In-Store,29.05,2.03
277,98,20250517,2025-05-17,In-Store,18.72,1.31
278,2010,20251128,2025-11-28,In-Store,16.04,1.12
279,555,20241105,2024-11-05,Online,41.59,2.91
280,539,20230710,2023-07-10,In-Store,36.4,2.55
281,3562,20220616,2022-06-16,Online,18.34,1.28
282,4997,20220305,2022-03-05,Online,7.14,0.5
283,963,20221220,2022-12-20,Online,36.52,2.56
284,1129,20250927,2025-09-27,Online,17.42,1.22
285,1477,20240912,2024-09-12,Online,18.31,1.28
286,3912,20210116,2021-01-16,In-Store,50.21,3.51
287,2525,20211225,2021-12-25,Online,18.89,1.32
288,2840,20220202,2022-02-02,Online,38.77,2.71
289,2720,20241221,2024-12-21,In-Store,79.6,5.57
290,4689,20240808,2024-08-08,Online,33.43,2.34
291,172,20251213,2025-12-13,Online,48.0,3.36
292,774,20240607,2024-06-07,In-Store,58.15,4.07
293,1900,20231221,2023-12-21,Online,43.48,3.04
294,2430,20241026,2024-10-26,Online,51.55,3.61
295,566,20250126,2025-01-26,Online,20.45,1.43
296,4454,20220626,2022-06-26,Online,16.15,1.13
297,3386,20251221,2025-12-21,Online,31.24,2.19
298,4664,20211211,2021-12-11,Online,15.35,1.07
299,4704,20230225,2023-02-25,Online,44.23,3.1
300,2560,20220505,2022-05-05,Online,47.07,3.29
301,4257,20210327,2021-03-27,Online,9.82,0.69
302,3679,20250808,2025-08-08,Online,18.62,1.3
303,1788,20231221,2023-12-21,In-Store,20.84,1.46
304,3281,20240720,2024-07-20,In-Store,36.93,2.59
305,4759,20220811,2022-08-11,In-Store,42.04,2.94
306,3804,20230926,2023-09-26,Online,9.4,0.66
307,3546,20210305,2021-03-05,Online,37.42,2.62
308,1095,20230107,2023-01-07,Online,56.12,3.93
309,4140,20231125,2023-11-25,Online,16.09,1.13
310,1942,20251224,2025-12-24,In-Store,14.42,1.01
311,3115,20251201,2025-12-01,Online,19.05,1.33
312,3386,20240818,2024-08-18,Online,11.79,0.83
313,2576,20231223,2023-12-23,Online,35.91,2.51
314,815,20251012,2025-10-12,Online,22.58,1.58
315,3490,20250125,2025-01-25,In-Store,29.42,2.06
316,1220,20250315,2025-03-15,Online,101.66,7.12
317,1315,20220221,2022-02-21,Online,26.73,1.87
318,629,20250103,2025-01-03,In-Store,45.36,3.18
319,3088,20240404,2024-04-04,In-Store,26.89,1.88
320,582,20230527,2023-05-27,In-Store,14.07,0.98
321,1710,20250522,2025-05-22,In-Store,23.23,1.63
322,4434,20220119,2022-01-19,In-Store,38.59,2.7
323,2251,20230419,2023-04-19,Online,53.26,3.73
324,4459,20251206,2025-12-06,Online,34.35,2.4
325,2455,20240811,2024-08-11,In-Store,27.45,1.92
326,883,20220827,2022-08-27,Online,29.81,2.09
327,3783,20231001,2023-10-01,Online,6.36,0.45
328,1754,20250416,2025-04-16,Online,54.7,3.83
329,4834,20240925,2024-09-25,In-Store,27.25,1.91
330,1296,20240309,2024-03-09,Online,21.35,1.49
331,4088,20240815,2024-08-15,Online,30.99,2.17
332,2461,20221001,2022-10-01,In-Store,15.9,1.11
333,4200,20241225,2024-12-25,Online,19.6,1.37
334,902,20250409,2025-04-09,In-Store,24.24,1.7
335,3157,20250610,2025-06-10,Online,37.22,2.61
336,564,20210805,2021-08-05,Online,24.81,1.74
337,4008,20210828,2021-08-28,Online,65.7,4.6
338,1156,20230923,2023-09-23,Online,10.51,0.74
339,2136,20230712,2023-07-12,Online,15.44,1.08
340,3272,20250514,2025-05-14,In-Store,12.08,0.85
341,2379,20250904,2025-09-04,In-Store,37.42,2.62
342,3883,20250905,2025-09-05,Online,19.59,1.37
343,3442,20250524,2025-05-24,Online,17.81,1.25
344,642,20231208,2023-12-08,In-Store,17.28,1.21
345,3854,20220423,2022-04-23,Online,17.39,1.22
346,2117,20250809,2025-08-09,In-Store,23.76,1.66
347,2980,20250409,2025-04-09,Online,16.05,1.12
348,1074,20221012,2022-10-12,In-Store,24.45,1.71
349,2115,20241118,2024-11-18,Online,25.82,1.81
350,4064,20240212,2024-02-12,Online,25.03,1.75
351,4631,20240813,2024-08-13,Online,17.81,1.25
352,4696,20220312,2022-03-12,Online,14.08,0.99
353,3505,20220813,2022-08-13,Online,20.52,1.44
354,397,20210111,2021-01-11,Online,29.43,2.06
355,2204,20250311,2025-03-11,Online,26.4,1.85
356,955,20220428,2022-04-28,In-Store,11.17,0.78
357,3491,20221005,2022-10-05,Online,24.12,1.69
358,794,20250927,2025-09-27,Online,36.25,2.54
359,4895,20230310,2023-03-10,In-Store,37.9,2.65
360,963,20211206,2021-12-06,Online,20.65,1.45
361,267,20240804,2024-08-04,Online,48.41,3.39
362,4208,20230620,2023-06-20,Online,56.2,3.93
363,1001,20250603,2025-06-03,Online,32.82,2.3
364,123,20251213,2025-12-13,In-Store,12.12,0.85
365,2727,20211120,2021-11-20,In-Store,33.09,2.32
366,4849,20211024,2021-10-24,Online,17.5,1.23
367,1327,20220420,2022-04-20,Online,21.55,1.51
368,2039,20241220,2024-12-20,In-Store,45.34,3.17
369,1164,20221122,2022-11-22,Online,37.25,2.61
370,2782,20240624,2024-06-24,In-Store,36.35,2.54
371,1607,20240723,2024-07-23,Online,38.94,2.73
372,2948,20240107,2024-01-07,In-Store,16.39,1.15
373,2378,20210719,2021-07-19,Online,22.56,1.58
374,4644,20230201,2023-02-01,Online,74.44,5.21
375,3343,20241223,2024-12-23,In-Store,19.66,1.38
376,3408,20210417,2021-04-17,In-Store,44.14,3.09
377,2421,20240925,2024-09-25,In-Store,43.78,3.06
378,1515,20220611,2022-06-11,Online,31.22,2.19
379,1564,20251227,2025-12-27,In-Store,22.26,1.56
380,2516,20240910,2024-09-10,Online,63.92,4.47
381,952,20230627,2023-06-27,Online,33.63,2.35
382,653,20210916,2021-09-16,In-Store,14.86,1.04
383,1850,20230327,2023-03-27,Online,43.74,3.06
384,643,20240810,2024-08-10,In-Store,34.91,2.44
385,1135,20230128,2023-01-28,Online,24.5,1.72
386,2671,20210310,2021-03-10,In-Store,20.38,1.43
387,3936,20241222,2024-12-22,Online,30.13,2.11
388,1110,20230401,2023-04-01,Online,21.9,1.53
389,3944,20210917,2021-09-17,Online,20.85,1.46
390,82,20251207,2025-12-07,In-Store,18.32,1.28
391,4984,20240507,2024-05-07,Online,16.16,1.13
392,2583,20240629,2024-06-29,Online,21.32,1.49
393,2369,20220101,2022-01-01,Online,23.52,1.65
394,3243,20250703,2025-07-03,Online,15.56,1.09
395,2365,20230107,2023-01-07,In-Store,68.98,4.83
396,2035,20250517,2025-05-17,Online,41.84,2.93
397,1844,20220527,2022-05-27,In-Store,45.65,3.2
398,4896,20230923,2023-09-23,Online,18.25,1.28
399,4298,20250626,2025-06-26,Online,19.33,1.35
400,2506,20211206,2021-12-06,Online,11.08,0.78
401,4167,20221008,2022-10-08,Online,33.63,2.35
402,730,20230313,2023-03-13,In-Store,17.92,1.25
403,2644,20221210,2022-12-10,Online,59.69,4.18
404,2238,20231005,2023-10-05,In-Store,16.78,1.17
405,1616,20210713,2021-07-13,In-Store,22.79,1.6
406,4592,20251211,2025-12-11,Online,83.47,5.84
407,4146,20241221,2024-12-21,In-Store,25.81,1.81
408,4529,20220723,2022-07-23,Online,21.73,1.52
409,3165,20241122,2024-11-22,In-Store,42.16,2.95
410,1870,20240604,2024-06-04,Online,32.06,2.24
411,3772,20250107,2025-01-07,In-Store,22.59,1.58
412,542,20250613,2025-06-13,Online,39.59,2.77
413,4258,20250412,2025-04-12,Online,68.22,4.78
414,144,20230604,2023-06-04,Online,13.11,0.92
415,4067,20240914,2024-09-14,In-Store,12.86,0.9
416,3522,20240609,2024-06-09,Online,25.81,1.81
417,439,20231018,2023-10-18,In-Store,49.21,3.44
418,722,20250801,2025-08-01,Online,35.71,2.5
419,2247,20240714,2024-07-14,Online,10.67,0.75
420,1496,20240508,2024-05-08,In-Store,27.09,1.9
421,4330,20230412,2023-04-12,In-Store,45.36,3.18
422,954,20240605,2024-06-05,Online,127.05,8.89
423,2081,20220507,2022-05-07,Online,44.89,3.14
424,1288,20221123,2022-11-23,Online,18.21,1.27
425,631,20220319,2022-03-19,Online,24.11,1.69
426,1285,20230228,2023-02-28,Online,38.93,2.73
427,4289,20210822,2021-08-22,In-Store,14.18,0.99
428,3579,20221119,2022-11-19,Online,19.24,1.35
429,4571,20250506,2025-05-06,In-Store,87.54,6.13
430,2021,20220208,2022-02-08,Online,43.21,3.02
431,1181,20220226,2022-02-26,Online,58.52,4.1
432,132,20210227,2021-02-27,In-Store,6.07,0.42
433,2467,20231013,2023-10-13,In-Store,13.16,0.92
434,194,20221222,2022-12-22,Online,6.44,0.45
435,22,20230702,2023-07-02,In-Store,26.1,1.83
436,3007,20220713,2022-07-13,In-Store,17.11,1.2
437,810,20230516,2023-05-16,Online,28.73,2.01
438,2793,20210620,2021-06-20,Online,37.95,2.66
439,2854,20250713,2025-07-13,Online,56.77,3.97
440,3615,20251120,2025-11-20,In-Store,45.89,3.21
441,1905,20220611,2022-06-11,Online,26.93,1.89
442,3528,20211214,2021-12-14,Online,56.81,3.98
443,1813,20241019,2024-10-19,In-Store,15.53,1.09
444,492,20230923,2023-09-23,Online,32.8,2.3
445,1549,20230218,2023-02-18,In-Store,13.04,0.91
446,42,20210704,2021-07-04,Online,26.11,1.83
447,2296,20211218,2021-12-18,In-Store,20.63,1.44
448,3692,20220427,2022-04-27,Online,61.54,4.31
449,3909,20230916,2023-09-16,In-Store,40.71,2.85
450,1143,20231203,2023-12-03,In-Store,18.4,1.29
451,529,20211127,2021-11-27,Online,24.53,1.72
452,918,20231209,2023-12-09,Online,29.71,2.08
453,4927,20231019,2023-10-19,In-Store,22.3,1.56
454,1557,20210114,2021-01-14,Online,19.73,1.38
455,2141,20221024,2022-10-24,Online,30.74,2.15
456,380,20241111,2024-11-11,Online,20.61,1.44
457,3931,20240824,2024-08-24,Online,25.28,1.77
458,2230,20210416,2021-04-16,Online,34.63,2.42
459,433,20250227,2025-02-27,Online,75.88,5.31
460,2353,20231222,2023-12-22,In-Store,36.46,2.55
461,3567,20231206,2023-12-06,In-Store,28.28,1.98
462,2353,20211011,2021-10-11,Online,43.07,3.01
463,4845,20210424,2021-04-24,Online,17.19,1.2
464,4348,20250113,2025-01-13,Online,27.9,1.95
465,2573,20251122,2025-11-22,Online,15.5,1.09
466,4702,20231209,2023-12-09,Online,28.6,2.0
467,4041,20240323,2024-03-23,Online,12.99,0.91
468,1826,20210210,2021-02-10,Online,21.83,1.53
469,3841,20250704,2025-07-04,Online,72.81,5.1
470,2525,20250721,2025-07-21,Online,31.65,2.22
471,2687,20251023,2025-10-23,Online,44.8,3.14
472,2599,20240507,2024-05-07,Online,25.97,1.82
473,4000,20210921,2021-09-21,In-Store,63.24,4.43
474,4593,20210115,2021-01-15,In-Store,67.75,4.74
475,1589,20210303,2021-03-03,In-Store,22.72,1.59
476,3203,20240906,2024-09-06,In-Store,32.51,2.28
477,3134,20230925,2023-09-25,In-Store,35.12,2.46
478,4423,20231014,2023-10-14,Online,6.03,0.42
479,2226,20230603,2023-06-03,In-Store,15.68,1.1
480,944,20251014,2025-10-14,Online,76.87,5.38
481,1006,20240505,2024-05-05,In-Store,79.1,5.54
482,260,20250217,2025-02-17,Online,15.45,1.08
483,506,20250302,2025-03-02,Online,23.71,1.66
484,1502,20250422,2025-04-22,In-Store,55.34,3.87
485,514,20231126,2023-11-26,In-Store,26.68,1.87
486,4345,20250610,2025-06-10,In-Store,35.75,2.5
487,1798,20210625,2021-06-25,Online,79.9,5.59
488,1828,20250726,2025-07-26,In-Store,17.42,1.22
489,3775,20210515,2021-05-15,In-Store,59.29,4.15
490,1503,20221112,2022-11-12,Online,56.49,3.95
491,3577,20250201,2025-02-01,In-Store,22.81,1.6
492,4090,20240903,2024-09-03,Online,39.62,2.77
493,1787,20221007,2022-10-07,Online,23.29,1.63
494,2378,20250715,2025-07-15,Online,49.16,3.44
495,1603,20241214,2024-12-14,Online,44.76,3.13
496,2115,20230308,2023-03-08,Online,20.07,1.4
497,2895,20250612,2025-06-12,Online,45.92,3.21
498,1735,20230218,2023-02-18,In-Store,21.86,1.53
499,2304,20210320,2021-03-20,Online,13.22,0.93
500,2474,20251202,2025-12-02,In-Store,16.35,1.14
501,124,20250925,2025-09-25,Online,29.49,2.06
502,803,20210414,2021-04-14,Online,23.65,1.66
503,2694,20231117,2023-11-17,Online,22.89,1.6
504,14,20230623,2023-06-23,Online,13.35,0.93
505,3524,20210708,2021-07-08,Online,33.72,2.36
506,4518,20250224,2025-02-24,Online,22.64,1.58
