imdb_title_id,title,original_title,year,date_published,genre,duration,country,language_1,language_2,language_3,director,writer,actors,actors_1,actors_f2,description,desc35,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,reviews_from_users
tt0120753,The Million Dollar Hotel,The Million Dollar Hotel,2000,31/03/2000,"Drama, Mystery, Thriller",122,"Germany, UK, USA",English,,,Wim Wenders,"Nicholas Klein, Bono","Jeremy Davies, Milla Jovovich, Mel Gibson, Jimmy Smits, Peter Stormare, Amanda Plummer, Gloria Stuart, Tom Bower, Donal Logue, Bud Cort, Julian Sands, Conrad Roberts, Harris Yulin, Charlayne Woodard, Ellen Cleghorne",Jeremy Davies,"Jeremy Davies, Milla Jovovich","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.","Tragi-comic, romantic whodunnit",5.9,20570,8000000,59989,105983,184
tt0120755,Mission: Impossible II,Mission: Impossible II,2000,07/07/2000,"Action, Adventure, Thriller",123,"USA, Germany",English,,,John Woo,"Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming",Tom Cruise,"Tom Cruise, Dougray Scott","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".",IMF agent Ethan Hunt is sent to,6.1,308586,125000000,215409889,546388108,1501
tt0120804,Resident Evil,Resident Evil,2002,05/07/2002,"Action, Horror, Sci-Fi",100,"UK, Germany, USA",English,,,Paul W.S. Anderson,Paul W.S. Anderson,"Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi",Ryan McCluskey,"Ryan McCluskey, Oscar Pearce","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",A special military unit fights,6.7,243241,33000000,40119709,102984862,1178
tt0120824,The Shipping News - Ombre dal profondo,The Shipping News,2001,15/02/2002,Drama,111,"Canada, USA",English,,,Lasse Hallström,"Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett, Pete Postlethwaite, Scott Glenn, Rhys Ifans, Gordon Pinsent, Jason Behr, Larry Pine, Jeannetta Arnette, Robert Joy, Alyssa Gainer, Kaitlyn Gainer, Lauren Gainer",Kevin Spacey,"Kevin Spacey, Julianne Moore",An emotionally beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,An emotionally beaten man with,6.7,31614,38000000,11434216,24690441,210
tt0120903,X-Men,X-Men,2000,27/10/2000,"Action, Adventure, Sci-Fi",104,USA,English,,,Bryan Singer,"Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor",Hugh Jackman,"Hugh Jackman, Patrick Stewart","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",In a world where mutants (evolved,7.4,562022,75000000,157299718,296339528,1448
tt0120912,Men in Black II,Men in Black II,2002,13/09/2002,"Action, Adventure, Comedy",88,USA,English,,,Barry Sonnenfeld,"Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito",Tommy Lee Jones,"Tommy Lee Jones, Will Smith",Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.,Agent J is sent to find Agent,6.2,337088,140000000,193735288,445135288,650
tt0120913,Titan A.E.,Titan A.E.,2000,29/09/2000,"Animation, Action, Adventure",94,USA,English,Mandarin,,"Don Bluth, Gary Goldman","Hans Bauer, Randall McCormick","Drew Barrymore, Jim Breuer, Ken Hudson Campbell, Thomas A. Chantler, Tsai Chin, Elaine A. Clark, Roy Conrad, Jim Cummings, Matt Damon, Janeane Garofalo, Leslie Hedger, Roger Jackson, David L. Lander, Nathan Lane, John Leguizamo",Drew Barrymore,"Drew Barrymore, Jim Breuer",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,A young man learns that he has,6.6,58060,75000000,22753426,36754634,396
tt0120917,Le follie dell'imperatore,The Emperor's New Groove,2000,06/04/2001,"Animation, Adventure, Comedy",78,USA,English,,,Mark Dindal,"Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn",David Spade,"David Spade, John Goodman","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",Emperor Kuzco is turned into a,7.3,175207,100000000,89302687,169327687,330
tt0121164,La sposa cadavere,Corpse Bride,2005,28/10/2005,"Animation, Drama, Family",77,"USA, UK",English,,,"Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman, Paul Whitehouse, Joanna Lumley, Albert Finney, Richard E. Grant, Christopher Lee, Michael Gough, Jane Horrocks, Enn Reitel, Deep Roy, Danny Elfman, Stephen Ballantyne",Johnny Depp,"Johnny Depp, Helena Bonham Carter","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",When a shy groom practices his,7.3,237421,40000000,53359111,118090836,525
tt0121765,Star Wars: Episodio II - L'attacco dei cloni,Star Wars: Episode II - Attack of the Clones,2002,16/05/2002,"Action, Adventure, Fantasy",142,USA,English,,,George Lucas,"George Lucas, Jonathan Hales","Ewan McGregor, Natalie Portman, Hayden Christensen, Christopher Lee, Samuel L. Jackson, Frank Oz, Ian McDiarmid, Pernilla August, Temuera Morrison, Jimmy Smits, Jack Thompson, Leeanna Walsman, Ahmed Best, Rose Byrne, Oliver Ford Davies",Ewan McGregor,"Ewan McGregor, Natalie Portman","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","Ten years after initially meeting,",6.5,625761,115000000,310676740,653779970,3660
tt0121766,Star Wars: Episodio III - La vendetta dei Sith,Star Wars: Episode III - Revenge of the Sith,2005,20/05/2005,"Action, Adventure, Fantasy",140,USA,English,,,George Lucas,George Lucas,"Ewan McGregor, Natalie Portman, Hayden Christensen, Ian McDiarmid, Samuel L. Jackson, Jimmy Smits, Frank Oz, Anthony Daniels, Christopher Lee, Keisha Castle-Hughes, Silas Carson, Jay Laga'aia, Bruce Spence, Wayne Pygram, Temuera Morrison",Ewan McGregor,"Ewan McGregor, Natalie Portman","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.","Three years into the Clone Wars,",7.5,694239,113000000,380270577,868390560,3569
tt0122459,Return to Me,Return to Me,2000,09/06/2000,"Comedy, Drama, Romance",115,USA,English,Italian,,Bonnie Hunt,"Bonnie Hunt, Don Lake","David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia, Bonnie Hunt, David Alan Grier, Joely Richardson, Eddie Jones, Jim Belushi, Marianne Muellerleile, William Bronder, Brian Howe, Chris Barnes, Adam Tanguay, Karson Pound",David Duchovny,"David Duchovny, Minnie Driver",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.,A man who falls in love with the,6.9,19351,24000000,32722798,36609995,292
tt0125022,Heartbreakers - Vizio di famiglia,Heartbreakers,2001,31/08/2001,"Comedy, Crime, Romance",123,USA,English,Russian,,David Mirkin,"Robert Dunn, Paul Guay","Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Anne Bancroft, Jeffrey Jones, Gene Hackman, Nora Dunn, Julio Oscar Mechoso, Ricky Jay, Sarah Silverman, Zach Galifianakis, Michael Hitchcock, Pierre Gonneau, Shawn Colvin",Sigourney Weaver,"Sigourney Weaver, Jennifer Love Hewitt",A mother and daughter con team seduce and scam wealthy men.,A mother and daughter con team,6.2,50857,35000000,40336607,57756408,223
tt0126029,Shrek,Shrek,2001,15/06/2001,"Animation, Adventure, Comedy",90,USA,English,,,"Andrew Adamson, Vicky Jenson","William Steig, Ted Elliott","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow, Vincent Cassel, Peter Dennis, Clive Pearse, Jim Cummings, Bobby Block, Chris Miller, Cody Cameron, Kathleen Freeman, Michael Galasso, Christopher Knights, Simon J. Smith",Mike Myers,"Mike Myers, Eddie Murphy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",A mean lord exiles fairytale creatures,7.8,600116,60000000,267665011,487769799,1071
tt0130623,Dinosauri,Dinosaur,2000,15/06/2000,"Animation, Adventure, Family",82,USA,English,,,"Eric Leighton, Ralph Zondag","Thom Enriquez, John Harrison","Alfre Woodard, Ossie Davis, Max Casella, Hayden Panettiere, D.B. Sweeney, Samuel E. Wright, Peter Siragusa, Julianna Margulies, Joan Plowright, Della Reese, Matt Adler, Sandina Bailo-Lape, Edie Lehmann Boddicker, Zachary Bostrom, Cathy Cavadini",Alfre Woodard,"Alfre Woodard, Ossie Davis",An orphaned dinosaur raised by lemurs joins an arduous trek to a sancturary after a meteorite shower destroys his family home.,An orphaned dinosaur raised by,6.5,51947,127500000,137748063,349822765,258
tt0131704,Le avventure di Rocky e Bullwinkle,The Adventures of Rocky & Bullwinkle,2000,20/07/2001,"Animation, Adventure, Comedy",92,"USA, Germany, South Korea, India, Canada",English,,,Des McAnuff,"Jay Ward, Kenneth Lonergan","Rene Russo, Jason Alexander, Piper Perabo, Randy Quaid, Robert De Niro, June Foray, Keith Scott, Janeane Garofalo, Carl Reiner, Jonathan Winters, John Goodman, Kenan Thompson, Kel Mitchell, James Rebhorn, David Alan Grier",Rene Russo,"Rene Russo, Jason Alexander","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio.","When enemies Boris, Natasha, and",4.2,19101,76000000,26005820,35134820,202
tt0132245,Driven,Driven,2001,27/04/2001,"Action, Drama, Sport",116,"USA, Canada, Australia",English,German,Spanish,Renny Harlin,"Jan Skrentny, Neal Tabachnick","Sylvester Stallone, Burt Reynolds, Kip Pardue, Stacy Edwards, Til Schweiger, Gina Gershon, Estella Warren, Cristián de la Fuente, Brent Briscoe, Robert Sean Leonard, Verona Pooth, Jasmin Wagner, Chip Ganassi, John Della Penna, Dan Duran",Sylvester Stallone,"Sylvester Stallone, Burt Reynolds",A young hot shot driver is in the middle of a championship season and is coming apart at the seams. A former CART champion is called in to give him guidance.,A young hot shot driver is in,4.6,38891,94000000,32720065,54744738,347
tt0132910,Il corvo 3 - Salvation,The Crow: Salvation,2000,01/06/2001,"Action, Crime, Fantasy",102,"Germany, USA",English,,,Bharat Nalluri,"James O'Barr, Chip Johannessen","Kirsten Dunst, William Atherton, Debbie Fan, Eric Mabius, Grant Shaud, David Jean Thomas, Gabrielle Woods, Jodi Lyn O'Keefe, David H. Stevens, Dale Midkiff, Bill Mondy, Walton Goggins, Tim DeKay, Robby Robinson, Tony Larimer",Kirsten Dunst,"Kirsten Dunst, William Atherton",Alex Corvis returns to the world of the living to solve the murder of a young woman that he was wrongly accused of.,Alex Corvis returns to the world,4.9,10705,10000000,,,153
tt0133152,Planet of the Apes - Il pianeta delle scimmie,Planet of the Apes,2001,14/09/2001,"Action, Adventure, Sci-Fi",119,USA,English,,,Tim Burton,"Pierre Boulle, William Broyles Jr.","Mark Wahlberg, Tim Roth, Helena Bonham Carter, Michael Clarke Duncan, Paul Giamatti, Estella Warren, Cary-Hiroyuki Tagawa, David Warner, Kris Kristofferson, Erick Avari, Lucas Elliot Eberl, Evan Parke, Glenn Shadix, Freda Foh Shen, Chris Ellis",Mark Wahlberg,"Mark Wahlberg, Tim Roth","In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.","In 2029, an Air Force astronaut",5.7,207951,100000000,180011740,362211740,1377
tt0133240,Il pianeta del tesoro,Treasure Planet,2002,20/12/2002,"Animation, Adventure, Family",95,USA,English,,,"Ron Clements, John Musker","Robert Louis Stevenson, Ron Clements","Roscoe Lee Browne, Corey Burton, Dane A. Davis, Joseph Gordon-Levitt, Tony Jay, Austin Majors, Patrick McGoohan, Michael McShane, Laurie Metcalf, Brian Murray, David Hyde Pierce, Martin Short, Emma Thompson, Michael Wincott, Jack Angel",Roscoe Lee Browne,"Roscoe Lee Browne, Corey Burton","A Disney animated version of ""Treasure Island"". The only difference is that this movie is set in outer space with alien worlds and other galactic wonders.","A Disney animated version of ""Treasure",7.2,99484,140000000,38176783,110041363,266
tt0134084,Scream 3,Scream 3,2000,01/09/2000,"Horror, Mystery",116,USA,English,,,Wes Craven,"Kevin Williamson, Ehren Kruger","Liev Schreiber, Beth Toussaint, Roger Jackson, Kelly Rutherford, Neve Campbell, Courteney Cox, Julie Janney, Richmond Arquette, Patrick Dempsey, Lynn McRee, Nancy O'Dell, Ken Taylor, Scott Foley, Roger Corman, Lance Henriksen",Liev Schreiber,"Liev Schreiber, Beth Toussaint","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them.",While Sidney and her friends visit,5.6,121153,40000000,89143175,161834276,763
tt0134847,Pitch Black,Pitch Black,2000,24/11/2000,"Action, Horror, Sci-Fi",109,"USA, Australia",English,Arabic,,David Twohy,"Jim Wheat, Ken Wheat","Vin Diesel, Radha Mitchell, Cole Hauser, Keith David, Lewis Fitz-Gerald, Claudia Black, Rhiana Griffith, John Moore, Simon Burke, Les Chantery, Sam Sari, Firass Dirani, Ric Anderson, Vic Wilson, Angela Moore",Vin Diesel,"Vin Diesel, Radha Mitchell","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",A commercial transport ship and,7.1,222655,23000000,39240659,53187659,827
tt0134983,Supernova,Supernova,2000,11/08/2000,"Horror, Sci-Fi, Thriller",90,"USA, Switzerland",English,,,Walter Hill,"William Malone, Daniel Chuba","James Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips, Peter Facinelli, Robin Tunney, Wilson Cruz, Eddy Rice Jr., Knox White, Kerrigan Mahan, Vanessa Marshall",James Spader,"James Spader, Angela Bassett",A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.,A deep space rescue and recovery,4.9,16884,90000000,14230455,14828081,297
tt0138524,"Prima ti sposo, poi ti rovino",Intolerable Cruelty,2003,17/10/2003,"Comedy, Crime, Romance",100,USA,English,French,,"Joel Coen, Ethan Coen","Robert Ramsey, Matthew Stone","George Clooney, Catherine Zeta-Jones, Geoffrey Rush, Cedric the Entertainer, Edward Herrmann, Paul Adelstein, Richard Jenkins, Billy Bob Thornton, Julia Duffy, Jonathan Hadary, Tom Aldredge, Stacey Travis, Jack Kyle, Irwin Keyes, Judith Drake",George Clooney,"George Clooney, Catherine Zeta-Jones",A beautiful gold digger matches wits with a shrewd Beverly Hills divorce lawyer who is increasingly attracted to her.,A beautiful gold digger matches,6.2,89972,60000000,35327628,120801243,335
tt0138749,La strada per El Dorado,The Road to El Dorado,2000,13/10/2000,"Animation, Adventure, Comedy",89,USA,English,,,"Bibo Bergeron, Don Paul","Terry Rossio, Ted Elliott","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante, Edward James Olmos, Jim Cummings, Frank Welker, Tobin Bell, Duncan Marjoribanks, Elijah Chiang, Cyrus Shaki-Khan, Elton John",Kevin Kline,"Kevin Kline, Kenneth Branagh","Two swindlers get their hands on a map to the fabled city of gold, El Dorado.",Two swindlers get their hands,6.9,82217,95000000,50863742,76432727,163
tt0138946,The Yards,The Yards,2000,01/06/2001,"Crime, Drama, Romance",115,USA,English,Spanish,,James Gray,"James Gray, Matt Reeves","Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan, Ellen Burstyn, Faye Dunaway, Steve Lawrence, Andy Davoli, Tony Musante, Victor Argo, Tomas Milian, Robert Montano, Victor Arnold, Chad Aaron, Louis Guss",Mark Wahlberg,"Mark Wahlberg, Joaquin Phoenix",Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.,Leo is released from prison after,6.4,19633,24000000,889352,924036,140
tt0139654,Training Day,Training Day,2001,16/11/2001,"Crime, Drama, Thriller",122,USA,English,Russian,Spanish,Antoine Fuqua,David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Jaime Gomez, Raymond Cruz",Denzel Washington,"Denzel Washington, Ethan Hawke",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,A rookie cop spends his first,7.7,381509,45000000,76631907,104876233,712
tt0141926,U-571,U-571,2000,06/10/2000,"Action, War",116,"France, USA, Italy",English,German,,Jonathan Mostow,"Jonathan Mostow, Jonathan Mostow","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes, Terrence 'T.C.' Carson, Erik Palladino, Dave Power, Derk Cheetwood, Matthew Settle",Matthew McConaughey,Matthew McConaughey,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,A German submarine is boarded,6.6,75749,62000000,77122415,127666415,637
tt0144084,American Psycho,American Psycho,2000,25/05/2001,"Comedy, Crime, Drama",101,"USA, Canada",English,Spanish,Cantonese,Mary Harron,"Bret Easton Ellis, Mary Harron","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage, Chloë Sevigny, Reese Witherspoon, Samantha Mathis, Matt Ross, Jared Leto, Willem Dafoe, Cara Seymour, Guinevere Turner, Stephen Bogaert, Monika Meier, Reg E. Cathey",Christian Bale,"Christian Bale, Justin Theroux","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",A wealthy New York City investment,7.6,473137,7000000,15070285,34266564,1267
tt0144528,La famiglia del professore matto,Nutty Professor II: The Klumps,2000,20/10/2000,"Comedy, Romance, Sci-Fi",106,USA,English,,,Peter Segal,"Jerry Lewis, Steve Oedekerk","Eddie Murphy, Janet Jackson, Larry Miller, John Ales, Richard Gant, Anna Maria Horsford, Melinda McGraw, Jamal Mixon, Gabriel Williams, Chris Elliott, Duffy Taylor, Earl Boen, Nikki Cox, Freda Payne, Sylvester Jenkins",Eddie Murphy,"Eddie Murphy, Janet Jackson","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.","Scientist Sherman Klump's inventions,",4.4,47646,84000000,123309890,166339890,181
tt0144964,Highlander: Endgame,Highlander: Endgame,2000,01/09/2000,"Action, Adventure, Fantasy",87,"UK, USA, Luxembourg",English,French,Scottish Gaelic,Douglas Aarniokoski,"Gregory Widen, Eric Bernt","Adrian Paul, Christopher Lambert, Bruce Payne, Lisa Barbuscia, Donnie Yen, Jim Byrnes, Peter Wingfield, Damon Dash, Beatie Edney, Sheila Gish, Oris Erhuero, Ian Paul Cassidy, Adam Copeland, Mihnea Trusca, June Watson",Adrian Paul,"Adrian Paul, Christopher Lambert","Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.",Immortals Connor and Duncan MacLeod,4.6,19127,25000000,12811858,15843608,361
