order_id,customer_id,order_amount,order_date,channel
89,3257,52.35,2025-02-06,Online
90,3426,35.15,2021-09-20,Online
91,277,38.5,2022-01-15,In-Store
92,526,34.85,2025-05-01,Online
93,1468,58.84,2024-05-19,Online
94,4200,31.96,2022-07-21,Online
95,4550,67.65,2025-01-12,Online
96,946,48.64,2025-12-13,In-Store
97,3571,21.24,2025-03-08,In-Store
98,4358,9.68,2024-04-15,In-Store
99,4381,23.98,2024-08-14,Online
100,2277,14.53,2021-03-21,Online
101,1281,35.08,2023-07-12,In-Store
102,4778,14.9,2023-07-29,Online
103,1374,24.83,2024-12-28,Online
104,1248,14.75,2024-01-18,Online
105,1019,26.86,2022-06-20,Online
106,2660,30.0,2023-11-04,Online
107,535,14.39,2025-06-20,Online
108,2840,17.94,2024-07-20,In-Store
109,4716,9.5,2024-04-04,Online
110,2520,30.39,2025-02-22,Online
111,4829,74.4,2023-01-27,Online
112,4520,38.85,2022-06-25,Online
113,3946,23.01,2025-12-26,Online
114,3025,64.9,2024-10-18,In-Store
115,4389,23.93,2025-07-17,In-Store
116,2764,20.73,2025-12-13,In-Store
117,1025,14.83,2023-04-26,In-Store
118,4626,27.85,2022-11-14,Online
119,2505,23.93,2022-11-13,Online
120,4533,17.01,2022-12-21,Online
121,1964,36.21,2021-11-06,In-Store
122,1673,59.77,2024-04-06,In-Store
123,3813,23.58,2023-03-10,Online
124,3160,19.85,2024-06-02,In-Store
125,2187,27.94,2025-10-27,Online
126,4379,23.29,2023-07-22,In-Store
127,2582,21.5,2023-07-14,In-Store
128,70,28.85,2022-04-12,Online
129,3466,40.01,2024-05-11,Online
130,317,25.48,2021-08-16,In-Store
131,2394,14.93,2022-07-09,Online
132,953,38.39,2023-12-26,Online
133,1191,35.74,2022-04-06,Online
134,4907,21.02,2023-12-25,Online
135,565,13.95,2024-09-18,In-Store
136,3776,11.29,2021-01-01,Online
137,3178,57.03,2021-12-20,Online
138,966,36.36,2021-02-24,Online
139,4680,38.96,2024-04-26,Online
140,998,53.41,2025-12-13,Online
141,2577,10.72,2021-05-19,In-Store
142,3939,18.36,2021-01-09,In-Store
143,3803,25.84,2023-10-17,Online
144,1589,24.61,2022-12-03,Online
145,4184,26.9,2023-04-02,Online
146,4812,18.69,2023-10-07,Online
147,2360,53.09,2023-08-19,Online
148,3252,15.98,2022-01-22,Online
149,1808,15.9,2022-03-08,Online
150,1756,16.69,2022-06-04,Online
151,2334,43.88,2023-09-07,Online
152,975,24.52,2021-05-22,Online
153,3448,15.69,2024-05-24,Online
154,815,13.7,2025-07-05,In-Store
155,28,19.08,2022-11-14,Online
156,2186,19.19,2024-01-03,Online
157,385,21.73,2023-10-12,Online
158,2805,34.14,2025-10-10,In-Store
159,2599,62.12,2022-12-03,In-Store
160,679,28.29,2022-09-13,Online
161,1213,19.23,2024-12-23,Online
162,123,8.98,2025-08-09,Online
163,2961,11.55,2022-02-21,In-Store
164,1458,12.0,2024-02-19,In-Store
165,3565,15.89,2025-03-25,Online
166,3138,20.45,2021-11-20,In-Store
167,1855,24.85,2025-06-06,In-Store
168,112,52.73,2021-01-23,Online
169,1592,87.57,2022-02-21,In-Store
170,1616,25.5,2023-04-13,Online
171,1657,33.09,2023-04-15,Online
172,4764,39.55,2022-12-04,In-Store
173,808,16.38,2022-04-21,In-Store
174,1340,28.56,2021-10-07,Online
175,4145,15.32,2025-05-10,In-Store
176,4626,56.73,2024-11-16,Online
177,2326,19.65,2022-11-05,Online
178,2691,24.44,2022-04-02,In-Store
179,268,114.52,2023-07-10,Online
180,4023,25.24,2024-03-24,Online
181,2965,28.39,2024-01-26,In-Store
182,2382,47.02,2021-06-19,Online
183,1511,52.02,2021-04-09,Online
184,2209,22.45,2024-11-19,Online
185,3672,32.44,2025-12-10,In-Store
186,405,33.17,2025-05-20,Online
187,2529,33.15,2021-03-14,In-Store
188,172,20.59,2024-12-28,Online
189,3846,21.02,2022-06-20,In-Store
190,1044,17.97,2023-07-11,Online
191,4505,19.07,2025-05-05,Online
192,2369,29.7,2023-05-24,In-Store
193,2271,32.47,2021-09-28,Online
194,1787,11.59,2022-04-20,Online
195,2581,33.34,2025-04-07,In-Store
196,1682,31.03,2023-01-01,In-Store
197,1786,39.13,2021-03-03,Online
198,969,21.5,2021-06-21,Online
199,1710,8.87,2025-10-18,Online
200,4043,66.94,2024-04-04,In-Store
201,1211,20.85,2022-09-18,Online
202,4083,5.0,2022-11-02,Online
203,4297,29.09,2022-08-03,In-Store
204,3322,46.28,2024-02-04,Online
205,154,14.5,2025-09-25,In-Store
206,2799,33.89,2023-01-14,In-Store
207,4150,30.15,2025-03-02,Online
208,1812,23.79,2023-03-09,Online
209,1411,17.19,2023-02-25,Online
210,1599,59.77,2023-10-16,Online
211,2114,21.24,2023-06-10,In-Store
212,355,39.37,2025-12-27,In-Store
213,1167,18.74,2022-04-09,Online
214,3226,42.59,2022-08-06,In-Store
215,2352,25.61,2022-12-18,In-Store
216,1220,81.5,2021-04-12,Online
217,4656,16.56,2024-01-09,In-Store
218,1474,35.15,2022-05-11,Online
219,638,17.13,2024-01-24,In-Store
220,986,9.64,2022-01-23,Online
221,1478,11.52,2023-10-06,In-Store
222,2609,19.15,2023-12-16,Online
223,336,68.52,2022-12-17,In-Store
224,4266,19.74,2023-07-07,In-Store
225,4375,24.01,2023-06-27,Online
226,1584,44.2,2024-11-16,In-Store
227,3864,90.29,2025-11-23,Online
228,2987,41.98,2025-12-27,In-Store
229,4218,52.68,2021-09-20,In-Store
230,1377,13.77,2023-10-03,In-Store
231,3033,29.43,2023-08-18,Online
232,366,6.76,2025-04-11,In-Store
233,54,65.82,2025-10-04,Online
234,4362,31.84,2022-11-07,Online
235,1469,43.24,2025-10-07,Online
236,2216,71.54,2023-04-22,In-Store
237,1141,19.89,2021-10-07,Online
238,4372,27.8,2021-06-26,Online
239,1912,20.85,2024-09-09,Online
240,885,47.23,2022-04-13,Online
241,3024,36.27,2025-08-16,In-Store
242,1018,35.7,2024-10-21,Online
243,1289,25.51,2022-06-07,In-Store
244,3356,36.26,2021-10-08,Online
245,4795,18.38,2024-03-21,In-Store
246,3762,35.91,2024-02-11,In-Store
247,613,36.22,2023-04-09,Online
248,1560,18.62,2024-07-06,In-Store
249,3969,12.92,2024-07-14,Online
250,1367,61.3,2021-12-18,In-Store
251,3691,54.9,2025-04-19,In-Store
252,2347,31.2,2021-05-07,Online
253,4407,22.83,2025-12-15,In-Store
254,1781,15.94,2023-11-18,Online
255,4675,29.24,2024-11-16,Online
256,2031,17.26,2025-12-06,In-Store
257,3626,17.3,2022-11-14,Online
258,967,28.36,2022-02-26,Online
259,2649,61.92,2021-11-25,In-Store
260,1549,27.98,2021-09-04,Online
261,69,14.0,2025-11-24,Online
262,2176,18.58,2024-12-22,In-Store
263,848,37.77,2024-11-28,Online
264,4791,79.88,2023-07-12,Online
265,4024,5.25,2022-03-24,Online
266,3688,15.23,2023-01-13,Online
267,2253,21.6,2022-11-07,Online
268,1283,18.17,2025-07-16,Online
269,1613,26.81,2025-01-21,Online
270,1013,13.16,2025-02-22,In-Store
271,2748,26.57,2025-04-14,In-Store
272,4040,9.1,2023-12-02,In-Store
273,929,33.77,2022-11-04,Online
274,24,26.18,2025-04-28,Online
275,621,46.14,2022-01-03,In-Store
276,2289,29.05,2025-03-26,In-Store
277,98,18.72,2025-05-17,In-Store
278,2010,16.04,2025-11-28,In-Store
279,555,41.59,2024-11-05,Online
280,539,36.4,2023-07-10,In-Store
281,3562,18.34,2022-06-16,Online
282,4997,7.14,2022-03-05,Online
283,963,36.52,2022-12-20,Online
284,1129,17.42,2025-09-27,Online
285,1477,18.31,2024-09-12,Online
286,3912,50.21,2021-01-16,In-Store
287,2525,18.89,2021-12-25,Online
288,2840,38.77,2022-02-02,Online
289,2720,79.6,2024-12-21,In-Store
290,4689,33.43,2024-08-08,Online
291,172,48.0,2025-12-13,Online
292,774,58.15,2024-06-07,In-Store
293,1900,43.48,2023-12-21,Online
294,2430,51.55,2024-10-26,Online
295,566,20.45,2025-01-26,Online
296,4454,16.15,2022-06-26,Online
297,3386,31.24,2025-12-21,Online
298,4664,15.35,2021-12-11,Online
299,4704,44.23,2023-02-25,Online
300,2560,47.07,2022-05-05,Online
301,4257,9.82,2021-03-27,Online
302,3679,18.62,2025-08-08,Online
303,1788,20.84,2023-12-21,In-Store
304,3281,36.93,2024-07-20,In-Store
305,4759,42.04,2022-08-11,In-Store
306,3804,9.4,2023-09-26,Online
307,3546,37.42,2021-03-05,Online
308,1095,56.12,2023-01-07,Online
309,4140,16.09,2023-11-25,Online
310,1942,14.42,2025-12-24,In-Store
311,3115,19.05,2025-12-01,Online
312,3386,11.79,2024-08-18,Online
313,2576,35.91,2023-12-23,Online
314,815,22.58,2025-10-12,Online
315,3490,29.42,2025-01-25,In-Store
316,1220,101.66,2025-03-15,Online
317,1315,26.73,2022-02-21,Online
318,629,45.36,2025-01-03,In-Store
319,3088,26.89,2024-04-04,In-Store
320,582,14.07,2023-05-27,In-Store
321,1710,23.23,2025-05-22,In-Store
322,4434,38.59,2022-01-19,In-Store
323,2251,53.26,2023-04-19,Online
324,4459,34.35,2025-12-06,Online
325,2455,27.45,2024-08-11,In-Store
326,883,29.81,2022-08-27,Online
327,3783,6.36,2023-10-01,Online
328,1754,54.7,2025-04-16,Online
329,4834,27.25,2024-09-25,In-Store
330,1296,21.35,2024-03-09,Online
331,4088,30.99,2024-08-15,Online
332,2461,15.9,2022-10-01,In-Store
333,4200,19.6,2024-12-25,Online
334,902,24.24,2025-04-09,In-Store
335,3157,37.22,2025-06-10,Online
336,564,24.81,2021-08-05,Online
337,4008,65.7,2021-08-28,Online
338,1156,10.51,2023-09-23,Online
339,2136,15.44,2023-07-12,Online
340,3272,12.08,2025-05-14,In-Store
341,2379,37.42,2025-09-04,In-Store
342,3883,19.59,2025-09-05,Online
343,3442,17.81,2025-05-24,Online
344,642,17.28,2023-12-08,In-Store
345,3854,17.39,2022-04-23,Online
346,2117,23.76,2025-08-09,In-Store
347,2980,16.05,2025-04-09,Online
348,1074,24.45,2022-10-12,In-Store
349,2115,25.82,2024-11-18,Online
350,4064,25.03,2024-02-12,Online
351,4631,17.81,2024-08-13,Online
352,4696,14.08,2022-03-12,Online
353,3505,20.52,2022-08-13,Online
354,397,29.43,2021-01-11,Online
355,2204,26.4,2025-03-11,Online
356,955,11.17,2022-04-28,In-Store
357,3491,24.12,2022-10-05,Online
358,794,36.25,2025-09-27,Online
359,4895,37.9,2023-03-10,In-Store
360,963,20.65,2021-12-06,Online
361,267,48.41,2024-08-04,Online
362,4208,56.2,2023-06-20,Online
363,1001,32.82,2025-06-03,Online
364,123,12.12,2025-12-13,In-Store
365,2727,33.09,2021-11-20,In-Store
366,4849,17.5,2021-10-24,Online
367,1327,21.55,2022-04-20,Online
368,2039,45.34,2024-12-20,In-Store
369,1164,37.25,2022-11-22,Online
370,2782,36.35,2024-06-24,In-Store
371,1607,38.94,2024-07-23,Online
372,2948,16.39,2024-01-07,In-Store
373,2378,22.56,2021-07-19,Online
374,4644,74.44,2023-02-01,Online
375,3343,19.66,2024-12-23,In-Store
376,3408,44.14,2021-04-17,In-Store
377,2421,43.78,2024-09-25,In-Store
378,1515,31.22,2022-06-11,Online
379,1564,22.26,2025-12-27,In-Store
380,2516,63.92,2024-09-10,Online
381,952,33.63,2023-06-27,Online
382,653,14.86,2021-09-16,In-Store
383,1850,43.74,2023-03-27,Online
384,643,34.91,2024-08-10,In-Store
385,1135,24.5,2023-01-28,Online
386,2671,20.38,2021-03-10,In-Store
387,3936,30.13,2024-12-22,Online
388,1110,21.9,2023-04-01,Online
389,3944,20.85,2021-09-17,Online
390,82,18.32,2025-12-07,In-Store
391,4984,16.16,2024-05-07,Online
392,2583,21.32,2024-06-29,Online
393,2369,23.52,2022-01-01,Online
394,3243,15.56,2025-07-03,Online
395,2365,68.98,2023-01-07,In-Store
396,2035,41.84,2025-05-17,Online
397,1844,45.65,2022-05-27,In-Store
398,4896,18.25,2023-09-23,Online
399,4298,19.33,2025-06-26,Online
400,2506,11.08,2021-12-06,Online
401,4167,33.63,2022-10-08,Online
402,730,17.92,2023-03-13,In-Store
403,2644,59.69,2022-12-10,Online
404,2238,16.78,2023-10-05,In-Store
405,1616,22.79,2021-07-13,In-Store
406,4592,83.47,2025-12-11,Online
407,4146,25.81,2024-12-21,In-Store
408,4529,21.73,2022-07-23,Online
409,3165,42.16,2024-11-22,In-Store
410,1870,32.06,2024-06-04,Online
411,3772,22.59,2025-01-07,In-Store
412,542,39.59,2025-06-13,Online
413,4258,68.22,2025-04-12,Online
414,144,13.11,2023-06-04,Online
415,4067,12.86,2024-09-14,In-Store
416,3522,25.81,2024-06-09,Online
417,439,49.21,2023-10-18,In-Store
418,722,35.71,2025-08-01,Online
419,2247,10.67,2024-07-14,Online
420,1496,27.09,2024-05-08,In-Store
421,4330,45.36,2023-04-12,In-Store
422,954,127.05,2024-06-05,Online
423,2081,44.89,2022-05-07,Online
424,1288,18.21,2022-11-23,Online
425,631,24.11,2022-03-19,Online
426,1285,38.93,2023-02-28,Online
427,4289,14.18,2021-08-22,In-Store
428,3579,19.24,2022-11-19,Online
429,4571,87.54,2025-05-06,In-Store
430,2021,43.21,2022-02-08,Online
431,1181,58.52,2022-02-26,Online
432,132,6.07,2021-02-27,In-Store
433,2467,13.16,2023-10-13,In-Store
434,194,6.44,2022-12-22,Online
435,22,26.1,2023-07-02,In-Store
436,3007,17.11,2022-07-13,In-Store
437,810,28.73,2023-05-16,Online
438,2793,37.95,2021-06-20,Online
439,2854,56.77,2025-07-13,Online
440,3615,45.89,2025-11-20,In-Store
441,1905,26.93,2022-06-11,Online
442,3528,56.81,2021-12-14,Online
443,1813,15.53,2024-10-19,In-Store
444,492,32.8,2023-09-23,Online
445,1549,13.04,2023-02-18,In-Store
446,42,26.11,2021-07-04,Online
447,2296,20.63,2021-12-18,In-Store
448,3692,61.54,2022-04-27,Online
449,3909,40.71,2023-09-16,In-Store
450,1143,18.4,2023-12-03,In-Store
451,529,24.53,2021-11-27,Online
452,918,29.71,2023-12-09,Online
453,4927,22.3,2023-10-19,In-Store
454,1557,19.73,2021-01-14,Online
455,2141,30.74,2022-10-24,Online
456,380,20.61,2024-11-11,Online
457,3931,25.28,2024-08-24,Online
458,2230,34.63,2021-04-16,Online
459,433,75.88,2025-02-27,Online
460,2353,36.46,2023-12-22,In-Store
461,3567,28.28,2023-12-06,In-Store
462,2353,43.07,2021-10-11,Online
463,4845,17.19,2021-04-24,Online
464,4348,27.9,2025-01-13,Online
465,2573,15.5,2025-11-22,Online
466,4702,28.6,2023-12-09,Online
467,4041,12.99,2024-03-23,Online
468,1826,21.83,2021-02-10,Online
469,3841,72.81,2025-07-04,Online
470,2525,31.65,2025-07-21,Online
471,2687,44.8,2025-10-23,Online
472,2599,25.97,2024-05-07,Online
473,4000,63.24,2021-09-21,In-Store
474,4593,67.75,2021-01-15,In-Store
475,1589,22.72,2021-03-03,In-Store
476,3203,32.51,2024-09-06,In-Store
477,3134,35.12,2023-09-25,In-Store
478,4423,6.03,2023-10-14,Online
479,2226,15.68,2023-06-03,In-Store
480,944,76.87,2025-10-14,Online
481,1006,79.1,2024-05-05,In-Store
482,260,15.45,2025-02-17,Online
483,506,23.71,2025-03-02,Online
484,1502,55.34,2025-04-22,In-Store
485,514,26.68,2023-11-26,In-Store
486,4345,35.75,2025-06-10,In-Store
487,1798,79.9,2021-06-25,Online
488,1828,17.42,2025-07-26,In-Store
489,3775,59.29,2021-05-15,In-Store
490,1503,56.49,2022-11-12,Online
491,3577,22.81,2025-02-01,In-Store
492,4090,39.62,2024-09-03,Online
493,1787,23.29,2022-10-07,Online
494,2378,49.16,2025-07-15,Online
495,1603,44.76,2024-12-14,Online
496,2115,20.07,2023-03-08,Online
497,2895,45.92,2025-06-12,Online
498,1735,21.86,2023-02-18,In-Store
499,2304,13.22,2021-03-20,Online
500,2474,16.35,2025-12-02,In-Store
501,124,29.49,2025-09-25,Online
502,803,23.65,2021-04-14,Online
503,2694,22.89,2023-11-17,Online
504,14,13.35,2023-06-23,Online
505,3524,33.72,2021-07-08,Online
506,4518,22.64,2025-02-24,Online
507,3761,14.25,2024-12-12,In-Store
508,1564,17.12,2021-05-17,In-Store
509,2236,25.34,2022-11-19,Online
510,3243,41.95,2025-03-10,Online
511,3395,63.05,2025-07-28,Online
512,4894,35.0,2025-12-24,In-Store
513,2456,15.05,2022-03-21,Online
514,1232,15.51,2022-04-09,In-Store
515,1799,28.47,2024-10-26,Online
516,4610,15.27,2022-03-27,Online
517,3151,48.02,2025-03-07,Online
518,4312,19.57,2024-03-23,Online
519,3616,30.66,2025-05-17,Online
520,4830,46.02,2022-12-01,In-Store
521,2498,51.12,2025-09-20,In-Store
522,4743,13.52,2022-08-04,Online
523,4415,25.15,2023-08-12,Online
524,4205,32.17,2024-02-21,Online
525,4697,27.22,2023-11-08,In-Store
526,2622,18.01,2024-11-09,In-Store
527,3704,17.53,2024-05-28,Online
528,2766,21.87,2022-04-14,Online
529,3870,36.66,2025-09-21,Online
530,3803,61.02,2025-07-28,In-Store
531,3780,62.22,2025-11-04,In-Store
532,2139,88.32,2021-11-20,In-Store
533,3968,21.42,2025-03-26,Online
534,4370,50.34,2022-04-11,In-Store
535,3172,20.55,2023-10-08,In-Store
536,2260,48.32,2022-06-16,Online
537,4259,31.04,2021-09-12,In-Store
538,3881,15.36,2025-10-11,Online
539,2333,69.92,2021-11-27,Online
540,2892,70.75,2023-04-27,Online
541,3428,20.12,2023-05-27,Online
542,3443,36.76,2022-12-24,In-Store
543,1552,112.79,2022-12-10,Online
544,1458,53.02,2021-12-28,Online
545,4422,35.7,2025-04-01,Online
546,4687,42.23,2021-08-18,Online
547,2004,32.28,2021-04-08,In-Store
548,4565,68.36,2025-10-09,Online
549,2340,76.96,2022-11-08,Online
550,821,18.4,2023-06-25,Online
551,3660,10.1,2022-11-03,Online
552,230,19.0,2025-09-01,Online
553,566,12.86,2023-01-17,Online
554,4705,35.12,2024-05-25,Online
555,2587,42.61,2024-11-23,Online
556,1322,36.68,2024-05-10,Online
557,2389,10.43,2024-06-20,In-Store
558,2881,78.63,2021-05-15,Online
559,3187,19.62,2023-09-26,Online
560,1726,23.98,2022-07-20,Online
561,1930,30.41,2024-07-05,In-Store
562,2736,37.34,2025-05-18,Online
563,3126,32.42,2021-11-07,In-Store
564,4607,42.84,2022-11-06,Online
565,1958,31.17,2024-08-19,Online
566,4362,72.25,2022-08-21,In-Store
567,4970,10.51,2022-02-12,Online
568,1684,26.35,2024-04-04,In-Store
569,136,102.45,2025-11-26,Online
570,3006,21.93,2025-09-03,Online
571,4506,21.35,2021-06-11,In-Store
572,269,27.03,2021-05-07,Online
573,975,58.29,2021-03-06,Online
574,3376,71.84,2024-03-21,In-Store
575,4029,37.17,2024-11-04,Online
576,430,18.64,2021-08-21,Online
577,1803,15.29,2021-04-27,Online
578,1172,19.97,2021-01-10,Online
579,4826,20.09,2023-11-03,Online
580,3408,86.17,2024-12-27,In-Store
581,2368,25.35,2023-06-05,Online
582,4301,14.48,2025-10-22,Online
583,2681,9.84,2025-03-29,In-Store
584,4554,39.79,2022-08-13,Online
585,1173,26.15,2024-07-11,Online
586,136,51.35,2023-12-10,In-Store
587,2139,26.8,2023-07-09,Online
588,1012,33.37,2025-06-14,Online
589,4163,43.76,2022-09-15,In-Store
590,2663,38.05,2022-10-02,Online
591,1439,18.02,2022-11-18,In-Store
592,3855,31.75,2024-08-15,In-Store
593,2629,50.87,2024-03-30,Online
594,2509,31.33,2023-01-26,Online
595,892,29.35,2023-09-09,Online
596,4978,12.1,2025-11-23,In-Store
597,3288,17.1,2022-05-21,Online
598,4265,36.11,2022-02-21,Online
599,3785,15.21,2023-06-27,Online
600,2510,27.44,2021-12-07,Online
601,56,27.59,2024-04-23,Online
602,3324,31.5,2021-02-25,In-Store
603,506,52.31,2023-08-18,Online
604,4809,28.35,2025-12-06,Online
605,1231,18.76,2022-09-07,Online
606,1820,21.25,2021-04-13,In-Store
607,2746,43.09,2025-01-25,Online
608,2507,20.0,2023-07-01,Online
609,3267,24.08,2023-02-05,In-Store
610,3902,39.89,2024-12-10,In-Store
611,3775,56.68,2023-10-21,Online
612,4535,21.31,2024-12-07,Online
613,2335,36.29,2024-01-18,Online
614,2669,13.3,2025-10-03,Online
615,4358,16.96,2021-12-01,Online
616,1408,17.54,2023-05-27,In-Store
617,1213,17.21,2023-09-26,Online
618,52,42.89,2021-04-04,In-Store
619,3685,30.83,2024-11-18,Online
620,3440,23.59,2021-03-24,Online
621,1375,5.6,2025-07-12,Online
622,641,54.47,2022-07-16,Online
623,209,115.14,2022-01-29,In-Store
624,2430,22.33,2025-05-27,Online
625,958,19.38,2023-11-27,In-Store
626,3952,13.86,2023-03-20,Online
627,4744,13.99,2022-05-04,Online
628,3872,53.86,2023-07-13,In-Store
629,4248,72.9,2023-10-19,Online
630,4961,46.8,2023-12-03,In-Store
631,3694,16.21,2024-09-10,In-Store
632,2826,33.98,2023-05-11,Online
633,4032,25.76,2025-01-18,Online
634,2813,52.04,2022-03-26,In-Store
635,2155,66.15,2025-02-20,Online
636,162,9.84,2021-12-28,Online
637,3208,32.77,2023-01-01,Online
638,4476,62.51,2023-12-08,In-Store
639,3466,16.73,2022-01-21,In-Store
640,2015,46.27,2023-02-12,Online
641,3068,39.86,2022-05-19,Online
642,4047,53.83,2023-06-25,Online
643,3804,9.44,2024-10-06,Online
644,2447,22.21,2024-12-03,In-Store
645,1795,21.95,2023-05-17,Online
646,1978,57.4,2025-07-12,Online
647,4534,20.71,2021-02-16,Online
648,837,56.43,2025-05-17,Online
649,4304,61.13,2023-12-13,Online
650,968,24.91,2022-09-07,Online
651,4912,25.43,2022-03-17,Online
652,2229,18.38,2024-07-06,In-Store
653,3662,41.36,2025-07-28,Online
654,3641,12.62,2023-06-03,Online
655,3848,8.82,2024-04-25,Online
656,3932,113.08,2022-01-14,In-Store
657,191,14.53,2025-05-01,Online
658,1359,12.51,2021-02-02,Online
659,1130,46.77,2024-09-28,In-Store
660,3497,12.09,2022-03-16,Online
661,3412,66.17,2021-12-18,Online
662,1481,52.33,2025-12-14,In-Store
663,3953,22.95,2024-05-09,Online
664,1555,16.92,2022-11-17,Online
665,1700,26.13,2025-10-02,Online
666,1987,14.97,2024-02-17,In-Store
667,3710,24.8,2021-04-03,In-Store
668,65,31.94,2025-05-22,Online
669,4525,9.38,2024-04-02,In-Store
670,3459,28.33,2025-03-07,Online
671,2927,20.84,2022-12-15,In-Store
672,1165,47.32,2023-10-12,In-Store
673,3914,48.91,2023-07-23,Online
674,4354,35.33,2025-11-28,In-Store
675,2501,17.01,2025-02-05,Online
676,1457,64.97,2024-01-06,Online
677,1892,34.16,2024-06-19,Online
678,2078,19.68,2022-03-28,Online
679,1525,42.68,2023-08-14,Online
680,3562,24.5,2022-01-16,In-Store
681,1697,30.75,2025-05-17,Online
682,4082,27.39,2023-12-23,In-Store
683,2302,17.46,2023-04-07,Online
684,3135,8.61,2022-04-03,In-Store
685,4734,22.68,2024-08-16,Online
686,2220,9.71,2023-11-13,In-Store
687,838,18.12,2022-08-02,In-Store
688,2737,55.34,2023-10-16,Online
689,2475,9.56,2024-12-28,In-Store
690,3899,50.01,2022-10-28,Online
691,4290,49.5,2025-11-15,Online
692,3563,20.02,2022-10-24,Online
693,4861,26.23,2023-08-20,Online
694,1334,22.47,2024-11-03,In-Store
695,1174,21.61,2024-09-07,In-Store
696,1450,26.81,2022-05-14,Online
697,3347,49.19,2024-03-26,Online
698,1144,13.13,2022-07-27,In-Store
699,439,20.95,2021-08-11,In-Store
700,4896,20.16,2024-09-26,Online
701,1566,31.89,2021-06-08,Online
702,1098,12.64,2025-09-27,Online
703,1780,40.69,2025-06-04,Online
704,776,15.93,2024-11-28,Online
705,177,30.21,2025-03-01,Online
706,1524,15.62,2023-10-07,Online
707,1681,20.77,2021-02-20,Online
708,4038,13.98,2022-05-11,Online
709,2170,19.21,2024-10-01,Online
710,3679,34.05,2024-05-19,Online
711,3675,58.73,2024-02-15,Online
712,3930,7.18,2021-04-09,In-Store
713,4593,31.65,2021-06-26,Online
714,2486,19.83,2025-10-27,In-Store
